No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C_Initial_g;Teneur_N_Initial_g;Teneur_S_Initial_g;Pourcentage_C_Final;Teneur_C_Final_g;Pourcentage_N_Final;Teneur_N_Final_g;Pourcentage_S_Final;Teneur_S_Final_g;Difference_C_Total_g;Difference_N_Total_g;Difference_S_Total_g;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
530;S;Rooibos;1,886;2,251;0,365;1,372;Fortier;45;conventionel;N;15;1;0,901350833;0,019614819;0,001701591;44,88;0,6157536;0,82519;0,011321607;0,0763;0,001046836;0,285597233;0,008293212;0,000654755;;;
531;S;Rooibos;1,899;2,253;0,353;1,423;Fortier;45;conventionel;N;15;1;0,90756375;0,019750022;0,00171332;44,851;0,63822973;0,84795;0,012066329;0,0848;0,001206704;0,26933402;0,007683693;0,000506616;;;
532;S;Rooibos;1,91;2,268;0,359;;Fortier;45;conventionel;N;15;2;0,912820833;0,019864424;0,001723244;;;;;;;;;;;;
533;S;Rooibos;1,918;2,281;0,362;1,369;Fortier;45;conventionel;N;15;2;0,916644167;0,019947626;0,001730462;47,625;0,65198625;0,92312;0,012637513;0,0759;0,001039071;0,264657917;0,007310113;0,000691391;;;
534;S;Rooibos;1,908;2,274;0,365;1,307;Fortier;45;conventionel;N;15;2;0,911865;0,019843624;0,00172144;46,308;0,60524556;0,76662;0,010019723;0,0762;0,000995934;0,30661944;0,009823901;0,000725506;;;
535;S;Rooibos;1,889;2,248;0,36;1,298;Fortier;45;conventionel;N;30;1;0,902784583;0,01964602;0,001704298;45,827;0,59483446;1,0734;0,013932732;0,0915;0,00118767;0,307950123;0,005713288;0,000516628;;;
536;S;Rooibos;1,894;2,255;0,361;1,297;Fortier;45;conventionel;N;30;1;0,905174167;0,019698021;0,001708809;45,185;0,58604945;0,95828;0,012428892;0,0883;0,001145251;0,319124717;0,007269129;0,000563558;;;
537;S;Rooibos;1,92;2,277;0,357;1,316;Fortier;45;conventionel;N;30;1;0,9176;0,019968427;0,001732267;46,583;0,61303228;0,93804;0,012344606;0,0664;0,000873824;0,30456772;0,00762382;0,000858443;;;
538;S;Rooibos;1,912;2,274;0,361;1,369;Fortier;45;conventionel;N;30;2;0,913776667;0,019885225;0,001725049;44,983;0,61581727;0,82848;0,011341891;0,0849;0,001162281;0,297959397;0,008543334;0,000562768;;;
539;S;Rooibos;1,924;2,279;0,355;1,389;Fortier;45;conventionel;N;30;2;0,919511667;0,020010028;0,001735876;44,722;0,62118858;0,88329;0,012268898;0,0838;0,001163982;0,298323087;0,007741129;0,000571894;;;
540;S;Rooibos;1,903;2,262;0,359;1,5;Fortier;45;conventionel;N;30;2;0,909475417;0,019791623;0,001716929;44,727;0,670905;0,9086;0,013629;0,073;0,001095;0,238570417;0,006162623;0,000621929;;;
541;S;Rooibos;1,924;2,276;0,352;1,304;Fortier;45;conventionel;N;45;1;0,919511667;0,020010028;0,001735876;46,833;0,61070232;0,97446;0,012706958;0,0933;0,001216632;0,308809347;0,007303069;0,000519244;;;
542;S;Rooibos;1,893;2,253;0,359;1,458;Fortier;45;conventionel;N;45;1;0,90469625;0,019687621;0,001707907;45,34;0,6610572;1,0204;0,014877432;0,0787;0,001147446;0,24363905;0,004810189;0,000560461;;;
543;S;Rooibos;1,923;2,278;0,355;1,47;Fortier;45;conventionel;N;45;1;0,91903375;0,019999627;0,001734973;50,215;0,7381605;1,0171;0,01495137;0,161;0,0023667;0,18087325;0,005048257;-0,000631727;;;
544;S;Rooibos;1,91;2,275;0,365;1,445;Fortier;45;conventionel;N;45;2;0,912820833;0,019864424;0,001723244;45,395;0,65595775;1,0093;0,014584385;0,0795;0,001148775;0,256863083;0,005280039;0,000574469;;;
545;S;Rooibos;1,915;2,275;0,361;1,435;Fortier;45;conventionel;N;45;2;0,915210417;0,019916426;0,001727756;44,406;0,6372261;0,98229;0,014095862;0,088;0,0012628;0,277984317;0,005820564;0,000464956;;;
546;S;Rooibos;1,91;2,266;0,356;1,43;Fortier;45;conventionel;N;45;2;0,912820833;0,019864424;0,001723244;45,959;0,6572137;1,0391;0,01485913;0,0953;0,00136279;0,255607133;0,005005294;0,000360454;;;
547;S;Rooibos;1,891;2,247;0,356;1,437;Fortier;45;conventionel;N;60;1;0,903740417;0,01966682;0,001706102;47,543;0,68319291;0,96472;0,013863026;0,0815;0,001171155;0,220547507;0,005803794;0,000534947;;;
548;S;Rooibos;1,9;2,26;0,36;1,228;Fortier;45;conventionel;N;60;1;0,908041667;0,019760422;0,001714222;46,787;0,57454436;0,98781;0,012130307;0,0866;0,001063448;0,333497307;0,007630115;0,000650774;;;
549;S;Rooibos;1,913;2,278;0,364;1,389;Fortier;45;conventionel;N;60;1;0,914254583;0,019895625;0,001725951;45,24;0,6283836;1,0139;0,014083071;0,095;0,00131955;0,285870983;0,005812554;0,000406401;;;
550;S;Rooibos;1,907;2,264;0,357;1,341;Fortier;45;conventionel;N;60;2;0,911387083;0,019833224;0,001720538;48,123;0,64532943;0,92958;0,012465668;0,102;0,00136782;0,266057653;0,007367556;0,000352718;;;
551;S;Rooibos;1,918;2,269;0,352;1,391;Fortier;45;conventionel;N;60;2;0,916644167;0,019947626;0,001730462;45,65;0,6349915;1,0164;0,014138124;0,0869;0,001208779;0,281652667;0,005809502;0,000521683;;;
552;S;Rooibos;1,905;2,253;0,348;1,384;Fortier;45;conventionel;N;60;2;0,91043125;0,019812423;0,001718733;47,642;0,65936528;1,0902;0,015088368;0,0888;0,001228992;0,25106597;0,004724055;0,000489741;;;
756;S;Rooibos;1,926;2,288;0,362;1,396;Fortier;45;conventionel;Nproducteur;;1;0,9204675;0,020030828;0,00173768;43,223;0,60339308;0,65901;0,00919978;0,0783;0,001093068;0,31707442;0,010831048;0,000644612;;;
757;S;Rooibos;1,926;2,291;0,365;1,398;Fortier;45;conventionel;Nproducteur;;1;0,9204675;0,020030828;0,00173768;44,182;0,61766436;0,61058;0,008535908;0,0739;0,001033122;0,30280314;0,01149492;0,000704558;;;
758;S;Rooibos;1,893;2,252;0,359;1,373;Fortier;45;conventionel;Nproducteur;;1;0,90469625;0,019687621;0,001707907;46,048;0,63223904;1,0733;0,014736409;0,0869;0,001193137;0,27245721;0,004951212;0,00051477;;;
759;S;Rooibos;1,894;2,255;0,361;1,379;Fortier;45;conventionel;Nproducteur;;2;0,905174167;0,019698021;0,001708809;47,219;0,65115001;1,1123;0,015338617;0,0944;0,001301776;0,254024157;0,004359404;0,000407033;;;
760;S;Rooibos;1,909;2,269;0,36;;Fortier;45;conventionel;Nproducteur;;2;0,912342917;0,019854024;0,001722342;;;;;;;;;;;;
