"","PertePoids","Sorte_The","Initial_Poids_Echantillon_g","Final_Poids_Echantillon_g","Producteur","Prelevement","Site","DoseRepPrel"
"226",-0.0727795193312436,"Residus_Canneberges",1.914,2.0533,"Belanger",2,"A9","79.98256_2_A9_2"
"227",-0.0518947368421053,"Residus_Canneberges",1.9,1.9986,"Belanger",2,"A9","79.98256_2_A9_2"
"228",-0.0026970954356847,"Residus_Canneberges",1.928,1.9332,"Belanger",2,"A9","79.98256_2_A9_2"
"229",-0.0390560165975103,"Residus_Canneberges",1.928,2.0033,"Belanger",2,"A9","79.98256_2_A9_2"
"230",0.0119958093242535,"Residus_Canneberges",1.909,1.8861,"Belanger",3,"A9","79.98256_1_A9_3"
"231",0.00582010582010577,"Residus_Canneberges",1.89,1.879,"Belanger",3,"A9","79.98256_1_A9_3"
"232",0.00168332456601793,"Residus_Canneberges",1.901,1.8978,"Belanger",3,"A9","79.98256_1_A9_3"
"233",0.0264813843733613,"Residus_Canneberges",1.907,1.8565,"Belanger",3,"A9","79.98256_1_A9_3"
"234",-0.000517063081696025,"Residus_Canneberges",1.934,1.935,"Belanger",3,"A9","79.98256_1_A9_3"
"235",-0.00036101083032487,"Residus_Canneberges",1.939,1.9397,"Belanger",3,"A9","79.98256_1_A9_3"
"236",0.00512953367875649,"Residus_Canneberges",1.93,1.9201,"Belanger",3,"A9","79.98256_1_A9_3"
"237",-0.00329261816250663,"Residus_Canneberges",1.883,1.8892,"Belanger",3,"A9","79.98256_1_A9_3"
"238",0.00956429330499458,"Residus_Canneberges",1.882,1.864,"Belanger",3,"A9","79.98256_1_A9_3"
"239",0.00896624472573835,"Residus_Canneberges",1.896,1.879,"Belanger",3,"A9","79.98256_1_A9_3"
"240",0.000942902042954439,"Residus_Canneberges",1.909,1.9072,"Belanger",3,"A9","79.98256_1_A9_3"
"241",-0.00140698280354347,"Residus_Canneberges",1.919,1.9217,"Belanger",3,"A9","79.98256_1_A9_3"
"242",0.00590094836670173,"Residus_Canneberges",1.898,1.8868,"Belanger",3,"A9","79.98256_1_A9_3"
"243",0.00675461741424798,"Residus_Canneberges",1.895,1.8822,"Belanger",3,"A9","79.98256_1_A9_3"
"244",0.00606377417668586,"Residus_Canneberges",1.913,1.9014,"Belanger",3,"A9","79.98256_1_A9_3"
