No,Tea type abbr,Tea type,Initial tea weight (g),Initial total weight (g),Initial bag weight (g),Remaining tea weight (g),Farm,Site,Farming system,Nitrogen type,Nitrogen dose,Repetition,Remaining C (%),Remaining N (%),Remaining S (%),Initial C fraction
856,G,Green tea,1.764,2.118,0.354,0.817,Fortier,45,Conventional,N-21-0-0,60,2,44.363,3.7301,0.33,0.84662592
857,G,Green tea,1.773,2.128,0.352,0.717,Fortier,45,Conventional,N-21-0-0,60,2,50.583,3.6961,0.285,0.85094544
858,G,Green tea,1.771,2.132,0.359,0.869,Fortier,45,Conventional,N-21-0-0,60,2,48.501,4.4927,0.27,0.849985547
1243,G,Green tea,1.778,2.135,0.358,0.619,Fortier,9,Conventional,N-SCU,30,2,50.781,4.4079,0.249,0.853345173
1244,G,Green tea,1.797,2.159,0.362,0.675,Fortier,9,Conventional,N-SCU,30,2,47.013,4.0061,0.245,0.86246416
1245,G,Green tea,1.804,2.165,0.361,0.64,Fortier,9,Conventional,N-SCU,45,2,48.548,3.894,0.248,0.865823787
1246,G,Green tea,1.79,2.149,0.36,0.636,Fortier,9,Conventional,N-SCU,45,2,50.534,3.9981,0.261,0.859104533
1247,G,Green tea,1.779,2.138,0.359,0.687,Fortier,9,Conventional,N-SCU,60,2,47.355,4.6058,0.265,0.85382512
1248,G,Green tea,1.75,2.104,0.354,0.63,Fortier,9,Conventional,N-SCU,60,2,48.63,4.638,0.276,0.839906667
391,S,Rooibos tea,1.91,2.27,0.361,1.352,Fortier,9,Conventional,N-21-0-0,0,1,45.22,0.80471,0.0199,0.912820833
392,S,Rooibos tea,1.913,2.272,0.359,1.295,Fortier,9,Conventional,N-21-0-0,0,1,47.323,1.0041,0.0381,0.914254583
393,S,Rooibos tea,1.925,2.281,0.355,1.232,Fortier,9,Conventional,N-21-0-0,0,1,47.264,0.81148,0.023,0.919989583
394,S,Rooibos tea,1.893,2.246,0.353,1.416,Fortier,9,Conventional,N-21-0-0,0,2,46.632,0.92743,0.0208,0.90469625
395,S,Rooibos tea,1.906,2.258,0.352,1.402,Fortier,9,Conventional,N-21-0-0,0,2,45.722,0.77332,0.0177,0.910909167
396,S,Rooibos tea,1.907,2.272,0.365,1.288,Fortier,9,Conventional,N-21-0-0,0,2,47.315,0.76372,0.0195,0.911387083
397,S,Rooibos tea,1.921,2.286,0.365,,Fortier,9,Conventional,N-21-0-0,15,1,,,,0.918077917
398,S,Rooibos tea,1.907,2.26,0.353,1.343,Fortier,9,Conventional,N-21-0-0,15,1,45.302,0.76838,0.029,0.911387083
399,S,Rooibos tea,1.888,2.249,0.361,1.255,Fortier,9,Conventional,N-21-0-0,15,1,46.74,0.92017,0.0337,0.902306667
400,S,Rooibos tea,1.893,2.255,0.362,1.41,Fortier,9,Conventional,N-21-0-0,15,2,47.119,0.75799,0.0175,0.90469625
401,S,Rooibos tea,1.896,2.253,0.358,1.387,Fortier,9,Conventional,N-21-0-0,15,2,43.626,0.74622,0.0284,0.90613
402,S,Rooibos tea,1.9,2.263,0.364,,Fortier,9,Conventional,N-21-0-0,15,2,,,,0.908041667
403,S,Rooibos tea,1.919,2.28,0.361,1.557,Fortier,9,Conventional,N-21-0-0,30,1,46.514,0.87969,0.0308,0.917122083
404,S,Rooibos tea,1.905,2.261,0.355,1.319,Fortier,9,Conventional,N-21-0-0,30,1,46.157,0.78784,0.0335,0.91043125
405,S,Rooibos tea,1.909,2.261,0.351,1.274,Fortier,9,Conventional,N-21-0-0,30,1,47.268,0.63065,0.0147,0.912342917
406,S,Rooibos tea,1.889,2.244,0.355,1.173,Fortier,9,Conventional,N-21-0-0,30,2,50.581,1.1526,0.0609,0.902784583
407,S,Rooibos tea,1.92,2.282,0.363,,Fortier,9,Conventional,N-21-0-0,30,2,,,,0.9176
408,S,Rooibos tea,1.913,2.275,0.362,1.278,Fortier,9,Conventional,N-21-0-0,30,2,46.261,1.1354,0.0527,0.914254583
409,S,Rooibos tea,1.928,2.289,0.361,1.358,Fortier,9,Conventional,N-21-0-0,45,1,45.117,0.7964,0.0278,0.921423333
410,S,Rooibos tea,1.925,2.284,0.36,1.338,Fortier,9,Conventional,N-21-0-0,45,1,45.707,0.78982,0.0303,0.919989583
411,S,Rooibos tea,1.922,2.281,0.36,1.485,Fortier,9,Conventional,N-21-0-0,45,1,41.814,0.91768,0.0406,0.918555833
412,S,Rooibos tea,1.92,2.283,0.363,1.424,Fortier,9,Conventional,N-21-0-0,45,2,47.132,0.67525,0.0105,0.9176
413,S,Rooibos tea,1.902,2.26,0.357,1.538,Fortier,9,Conventional,N-21-0-0,45,2,48.187,0.79626,0.0192,0.9089975
414,S,Rooibos tea,1.893,2.255,0.362,1.349,Fortier,9,Conventional,N-21-0-0,45,2,45.592,0.91926,0.0329,0.90469625
415,S,Rooibos tea,1.911,2.279,0.367,1.266,Fortier,9,Conventional,N-21-0-0,60,1,46.939,0.77745,0.0284,0.91329875
416,S,Rooibos tea,1.897,2.256,0.358,1.209,Fortier,9,Conventional,N-21-0-0,60,1,47.576,0.93114,0.0386,0.906607917
417,S,Rooibos tea,1.918,2.279,0.362,1.299,Fortier,9,Conventional,N-21-0-0,60,1,47.033,0.81894,0.0315,0.916644167
418,S,Rooibos tea,1.923,2.282,0.359,1.341,Fortier,9,Conventional,N-21-0-0,60,2,47.994,0.82309,0.0328,0.91903375
419,S,Rooibos tea,1.913,2.27,0.357,1.279,Fortier,9,Conventional,N-21-0-0,60,2,47.802,0.85905,0.0291,0.914254583
420,S,Rooibos tea,1.903,2.262,0.358,,Fortier,9,Conventional,N-21-0-0,60,2,,,,0.909475417
523,S,Rooibos tea,1.907,2.274,0.367,1.352,Fortier,45,Conventional,N-21-0-0,0,1,47.963,1.2148,0.0845,0.911387083
524,S,Rooibos tea,1.891,2.252,0.361,1.371,Fortier,45,Conventional,N-21-0-0,0,1,48.358,1.0006,0.0706,0.903740417
525,S,Rooibos tea,1.896,2.257,0.361,1.401,Fortier,45,Conventional,N-21-0-0,0,1,49.667,1.0147,0.0773,0.90613
526,S,Rooibos tea,1.902,2.27,0.368,1.3,Fortier,45,Conventional,N-21-0-0,0,2,50.585,0.89246,0.0584,0.9089975
527,S,Rooibos tea,1.888,2.249,0.361,1.235,Fortier,45,Conventional,N-21-0-0,0,2,45.33,0.82495,0.0692,0.902306667
528,S,Rooibos tea,1.893,2.254,0.361,1.35,Fortier,45,Conventional,N-21-0-0,0,2,46,0.98091,0.0891,0.90469625
529,S,Rooibos tea,1.893,2.25,0.356,1.406,Fortier,45,Conventional,N-21-0-0,15,1,44.649,0.88298,0.0731,0.90469625
530,S,Rooibos tea,1.886,2.251,0.365,1.372,Fortier,45,Conventional,N-21-0-0,15,1,44.88,0.82519,0.0763,0.901350833
531,S,Rooibos tea,1.899,2.253,0.353,1.423,Fortier,45,Conventional,N-21-0-0,15,1,44.851,0.84795,0.0848,0.90756375
532,S,Rooibos tea,1.91,2.268,0.359,,Fortier,45,Conventional,N-21-0-0,15,2,,,,0.912820833
533,S,Rooibos tea,1.918,2.281,0.362,1.369,Fortier,45,Conventional,N-21-0-0,15,2,47.625,0.92312,0.0759,0.916644167
534,S,Rooibos tea,1.908,2.274,0.365,1.307,Fortier,45,Conventional,N-21-0-0,15,2,46.308,0.76662,0.0762,0.911865
535,S,Rooibos tea,1.889,2.248,0.36,1.298,Fortier,45,Conventional,N-21-0-0,30,1,45.827,1.0734,0.0915,0.902784583
536,S,Rooibos tea,1.894,2.255,0.361,1.297,Fortier,45,Conventional,N-21-0-0,30,1,45.185,0.95828,0.0883,0.905174167
537,S,Rooibos tea,1.92,2.277,0.357,1.316,Fortier,45,Conventional,N-21-0-0,30,1,46.583,0.93804,0.0664,0.9176
538,S,Rooibos tea,1.912,2.274,0.361,1.369,Fortier,45,Conventional,N-21-0-0,30,2,44.983,0.82848,0.0849,0.913776667
539,S,Rooibos tea,1.924,2.279,0.355,1.389,Fortier,45,Conventional,N-21-0-0,30,2,44.722,0.88329,0.0838,0.919511667
540,S,Rooibos tea,1.903,2.262,0.359,1.5,Fortier,45,Conventional,N-21-0-0,30,2,44.727,0.9086,0.073,0.909475417
541,S,Rooibos tea,1.924,2.276,0.352,1.304,Fortier,45,Conventional,N-21-0-0,45,1,46.833,0.97446,0.0933,0.919511667
542,S,Rooibos tea,1.893,2.253,0.359,1.458,Fortier,45,Conventional,N-21-0-0,45,1,45.34,1.0204,0.0787,0.90469625
543,S,Rooibos tea,1.923,2.278,0.355,1.47,Fortier,45,Conventional,N-21-0-0,45,1,50.215,1.0171,0.161,0.91903375
544,S,Rooibos tea,1.91,2.275,0.365,1.445,Fortier,45,Conventional,N-21-0-0,45,2,45.395,1.0093,0.0795,0.912820833
545,S,Rooibos tea,1.915,2.275,0.361,1.435,Fortier,45,Conventional,N-21-0-0,45,2,44.406,0.98229,0.088,0.915210417
546,S,Rooibos tea,1.91,2.266,0.356,1.43,Fortier,45,Conventional,N-21-0-0,45,2,45.959,1.0391,0.0953,0.912820833
547,S,Rooibos tea,1.891,2.247,0.356,1.437,Fortier,45,Conventional,N-21-0-0,60,1,47.543,0.96472,0.0815,0.903740417
548,S,Rooibos tea,1.9,2.26,0.36,1.228,Fortier,45,Conventional,N-21-0-0,60,1,46.787,0.98781,0.0866,0.908041667
549,S,Rooibos tea,1.913,2.278,0.364,1.389,Fortier,45,Conventional,N-21-0-0,60,1,45.24,1.0139,0.095,0.914254583
550,S,Rooibos tea,1.907,2.264,0.357,1.341,Fortier,45,Conventional,N-21-0-0,60,2,48.123,0.92958,0.102,0.911387083
551,S,Rooibos tea,1.918,2.269,0.352,1.391,Fortier,45,Conventional,N-21-0-0,60,2,45.65,1.0164,0.0869,0.916644167
552,S,Rooibos tea,1.905,2.253,0.348,1.384,Fortier,45,Conventional,N-21-0-0,60,2,47.642,1.0902,0.0888,0.91043125
793,S,Rooibos tea,1.915,2.273,0.359,1.268,Fortier,9,Conventional,N-6-1-1,30,2,46.973,0.84612,0.0408,0.915210417
794,S,Rooibos tea,1.926,2.293,0.366,1.369,Fortier,9,Conventional,N-6-1-1,30,2,43.042,0.73255,0.0236,0.9204675
795,S,Rooibos tea,1.923,2.285,0.362,1.273,Fortier,9,Conventional,N-6-1-1,45,2,47.308,1.1222,0.0435,0.91903375
796,S,Rooibos tea,1.911,2.277,0.366,1.117,Fortier,9,Conventional,N-6-1-1,45,2,44.191,1.1311,0.049,0.91329875
797,S,Rooibos tea,1.92,2.283,0.364,1.243,Fortier,9,Conventional,N-6-1-1,60,2,46.479,1.0038,0.0416,0.9176
798,S,Rooibos tea,1.92,2.282,0.362,1.286,Fortier,9,Conventional,N-6-1-1,60,2,42.541,0.94562,0.0276,0.9176
1,N,Cranberry litter,1.886,2.25,0.364,1.882,Belanger,A9,Organic,N-6-1-1,60,2,49.063,0.68647,0.0386,0.94362238
2,N,Cranberry litter,1.928,2.288,0.358,1.873,Belanger,A9,Organic,N-6-1-1,60,2,48.953,0.73003,0.0319,0.96463624
3,N,Cranberry litter,1.882,2.238,0.356,1.477,Belanger,A9,Organic,N-6-1-1,45,2,46.902,0.66729,0.0292,0.94162106
4,N,Cranberry litter,1.91,2.266,0.354,1.907,Belanger,A9,Organic,N-6-1-1,45,2,49.316,0.70503,0.0376,0.9556303
5,N,Cranberry litter,1.897,2.26,0.362,1.917,Belanger,A9,Organic,N-6-1-1,30,2,48.922,0.80019,0.0403,0.94912601
6,N,Cranberry litter,1.93,2.289,0.358,1.966,Belanger,A9,Organic,N-6-1-1,30,2,48.652,0.66524,0.0304,0.9656369
7,N,Cranberry litter,1.886,2.248,0.365,2.037,Belanger,A9,Organic,N-8-0-0,0,1,44.401,0.71274,0.0369,0.94362238
8,N,Cranberry litter,1.915,2.279,0.364,1.907,Belanger,A9,Organic,N-8-0-0,0,1,49.096,0.71969,0.03,0.95813195
9,N,Cranberry litter,1.88,2.244,0.363,1.807,Belanger,A9,Organic,N-8-0-0,0,1,48.697,0.70311,0.0325,0.9406204
10,N,Cranberry litter,1.917,2.276,0.367,1.947,Belanger,A9,Organic,N-8-0-0,0,2,49.624,0.68393,0.0357,0.95913261
11,N,Cranberry litter,1.908,2.265,0.358,1.688,Belanger,A9,Organic,N-8-0-0,0,2,48.927,0.71022,0.0313,0.95462964
12,N,Cranberry litter,1.899,2.26,0.36,1.898,Belanger,A9,Organic,N-8-0-0,0,2,46.55,0.72076,0.0364,0.95012667
13,N,Cranberry litter,1.915,2.274,0.359,1.833,Belanger,A9,Organic,N-8-0-0,30,1,45.787,0.62231,0.0276,0.95813195
14,N,Cranberry litter,1.92,2.279,0.357,1.987,Belanger,A9,Organic,N-8-0-0,30,1,46.03,0.70791,0.0434,0.9606336
15,N,Cranberry litter,1.905,2.27,0.364,1.918,Belanger,A9,Organic,N-8-0-0,30,1,49.3,0.70714,0.0346,0.95312865
16,N,Cranberry litter,1.908,2.275,0.369,1.918,Belanger,A9,Organic,N-8-0-0,30,2,47.82,0.64509,0.0307,0.95462964
17,N,Cranberry litter,1.921,2.282,0.361,1.951,Belanger,A9,Organic,N-8-0-0,30,2,48.468,0.67954,0.0297,0.96113393
18,N,Cranberry litter,1.896,2.262,0.366,1.944,Belanger,A9,Organic,N-8-0-0,30,2,48.462,0.69446,0.0349,0.94862568
19,N,Cranberry litter,1.917,2.275,0.358,2.004,Belanger,A9,Organic,N-8-0-0,60,1,45.975,1.8559,0.0896,0.95913261
20,N,Cranberry litter,1.918,2.283,0.365,1.953,Belanger,A9,Organic,N-8-0-0,60,1,49.211,0.75332,0.0353,0.95963294
21,N,Cranberry litter,1.911,2.276,0.365,1.914,Belanger,A9,Organic,N-8-0-0,60,1,48.723,0.736,0.0348,0.95613063
22,N,Cranberry litter,1.899,2.263,0.364,1.389,Belanger,A9,Organic,N-8-0-0,60,2,48.299,0.7157,0.034,0.95012667
23,N,Cranberry litter,1.89,2.248,0.358,1.44,Belanger,A9,Organic,N-8-0-0,60,2,48.98,0.71359,0.0324,0.9456237
24,N,Cranberry litter,1.888,2.248,0.36,,Belanger,A9,Organic,N-8-0-0,60,2,,,,0.94462304
25,N,Cranberry litter,1.912,2.273,0.36,1.883,Belanger,A9,Organic,N-8-0-0,45,1,48.805,0.73177,0.0297,0.95663096
26,N,Cranberry litter,1.883,2.245,0.362,1.803,Belanger,A9,Organic,N-8-0-0,45,1,44.703,0.71701,0.0336,0.94212139
27,N,Cranberry litter,1.902,2.26,0.358,1.883,Belanger,A9,Organic,N-8-0-0,45,1,47.862,0.67527,0.0396,0.95162766
28,N,Cranberry litter,1.906,2.266,0.36,1.871,Belanger,A9,Organic,N-8-0-0,45,2,49.136,0.73081,0.0327,0.95362898
29,N,Cranberry litter,1.922,2.285,0.365,1.898,Belanger,A9,Organic,N-8-0-0,45,2,49.434,0.68146,0.0303,0.96163426
30,N,Cranberry litter,1.934,2.294,0.361,1.976,Belanger,A9,Organic,N-8-0-0,45,2,48.038,0.73257,0.0338,0.96763822
31,N,Cranberry litter,1.896,2.259,0.364,1.913,Belanger,A9,Organic,N-8-0-0,15,1,49.246,0.72778,0.0332,0.94862568
32,N,Cranberry litter,1.897,2.258,0.361,1.892,Belanger,A9,Organic,N-8-0-0,15,1,48.503,0.68911,0.032,0.94912601
33,N,Cranberry litter,1.918,2.282,0.363,1.953,Belanger,A9,Organic,N-8-0-0,15,1,48.135,0.73935,0.035,0.95963294
34,N,Cranberry litter,1.911,2.267,0.358,1.7,Belanger,A9,Organic,N-8-0-0,15,2,47.516,0.68535,0.0302,0.95613063
35,N,Cranberry litter,1.904,2.266,0.362,1.899,Belanger,A9,Organic,N-8-0-0,15,2,49.47,0.69319,0.0261,0.95262832
36,N,Cranberry litter,1.907,2.262,0.356,1.916,Belanger,A9,Organic,N-8-0-0,15,2,48.928,0.67561,0.0266,0.95412931
319,N,Cranberry litter,1.922,2.288,0.366,1.961,Fortier,9,Conventional,N-21-0-0,0,1,48.296,0.71991,0.0357,0.96163426
320,N,Cranberry litter,1.935,2.294,0.359,1.812,Fortier,9,Conventional,N-21-0-0,0,1,48.3,0.72901,0.0377,0.96813855
321,N,Cranberry litter,1.868,2.223,0.355,1.793,Fortier,9,Conventional,N-21-0-0,0,1,48.385,0.71672,0.0293,0.93461644
322,N,Cranberry litter,1.894,2.263,0.37,1.968,Fortier,9,Conventional,N-21-0-0,0,2,47.113,0.67243,0.0261,0.94762502
323,N,Cranberry litter,1.897,2.257,0.359,2.086,Fortier,9,Conventional,N-21-0-0,0,2,49.434,0.77357,0.0341,0.94912601
324,N,Cranberry litter,1.9,2.262,0.363,1.491,Fortier,9,Conventional,N-21-0-0,0,2,47.383,0.64291,0.0328,0.950627
325,N,Cranberry litter,1.93,2.293,0.363,1.875,Fortier,9,Conventional,N-21-0-0,15,1,47.973,0.70499,0.0295,0.9656369
326,N,Cranberry litter,1.891,2.253,0.361,2.068,Fortier,9,Conventional,N-21-0-0,15,1,42.953,0.71392,0.0269,0.94612403
327,N,Cranberry litter,1.91,2.276,0.366,1.734,Fortier,9,Conventional,N-21-0-0,15,1,49.192,0.72723,0.0285,0.9556303
328,N,Cranberry litter,1.928,2.294,0.366,1.904,Fortier,9,Conventional,N-21-0-0,15,2,49.07,0.68838,0.0223,0.96463624
329,N,Cranberry litter,1.913,2.276,0.363,1.869,Fortier,9,Conventional,N-21-0-0,15,2,49.034,0.73059,0.0295,0.95713129
330,N,Cranberry litter,1.939,2.301,0.362,1.925,Fortier,9,Conventional,N-21-0-0,15,2,48.334,0.71008,0.0315,0.97013987
331,N,Cranberry litter,1.929,2.294,0.361,1.96,Fortier,9,Conventional,N-21-0-0,30,1,47.902,0.74365,0.0259,0.96513657
332,N,Cranberry litter,1.909,2.278,0.369,1.822,Fortier,9,Conventional,N-21-0-0,30,1,47.69,0.81769,0.0339,0.95512997
333,N,Cranberry litter,1.893,2.257,0.363,,Fortier,9,Conventional,N-21-0-0,30,1,,,,0.94712469
334,N,Cranberry litter,1.91,2.271,0.361,1.819,Fortier,9,Conventional,N-21-0-0,30,2,49.115,0.80071,0.0352,0.9556303
335,N,Cranberry litter,1.912,2.278,0.366,,Fortier,9,Conventional,N-21-0-0,30,2,,,,0.95663096
336,N,Cranberry litter,1.927,2.295,0.368,,Fortier,9,Conventional,N-21-0-0,30,2,,,,0.96413591
337,N,Cranberry litter,1.935,2.297,0.361,1.731,Fortier,9,Conventional,N-21-0-0,45,1,47.781,0.74129,0.0312,0.96813855
338,N,Cranberry litter,1.924,2.284,0.362,1.874,Fortier,9,Conventional,N-21-0-0,45,1,48.75,0.73854,0.0333,0.96263492
339,N,Cranberry litter,1.937,2.301,0.364,1.884,Fortier,9,Conventional,N-21-0-0,45,1,49.084,0.77523,0.0249,0.96913921
340,N,Cranberry litter,1.899,2.261,0.361,1.866,Fortier,9,Conventional,N-21-0-0,45,2,48.213,0.7071,0.0307,0.95012667
341,N,Cranberry litter,1.904,2.268,0.362,1.893,Fortier,9,Conventional,N-21-0-0,45,2,49.776,0.73846,0.0326,0.95262832
342,N,Cranberry litter,1.885,2.252,0.365,,Fortier,9,Conventional,N-21-0-0,45,2,,,,0.94312205
343,N,Cranberry litter,1.917,2.286,0.368,1.83,Fortier,9,Conventional,N-21-0-0,60,1,49.694,0.82165,0.0434,0.95913261
344,N,Cranberry litter,1.886,2.25,0.365,,Fortier,9,Conventional,N-21-0-0,60,1,,,,0.94362238
345,N,Cranberry litter,1.885,2.25,0.364,1.815,Fortier,9,Conventional,N-21-0-0,60,1,50.385,0.74599,0.0337,0.94312205
346,N,Cranberry litter,1.936,2.3,0.363,,Fortier,9,Conventional,N-21-0-0,60,2,,,,0.96863888
347,N,Cranberry litter,1.911,2.274,0.363,1.898,Fortier,9,Conventional,N-21-0-0,60,2,49.95,0.73899,0.0251,0.95613063
348,N,Cranberry litter,1.927,2.288,0.363,1.628,Fortier,9,Conventional,N-21-0-0,60,2,48.318,0.7679,0.0442,0.96413591
451,N,Cranberry litter,1.926,2.283,0.356,1.861,Fortier,45,Conventional,N-21-0-0,0,1,49.369,0.78044,0.078,0.96363558
452,N,Cranberry litter,1.916,2.28,0.363,1.863,Fortier,45,Conventional,N-21-0-0,0,1,50.131,0.75369,0.0651,0.95863228
453,N,Cranberry litter,1.931,2.298,0.365,1.548,Fortier,45,Conventional,N-21-0-0,0,1,50.093,0.81469,0.0762,0.96613723
454,N,Cranberry litter,1.932,2.297,0.363,1.926,Fortier,45,Conventional,N-21-0-0,0,2,49.613,0.76481,0.0758,0.96663756
455,N,Cranberry litter,1.906,2.279,0.373,1.8,Fortier,45,Conventional,N-21-0-0,0,2,49.254,0.82383,0.0898,0.95362898
456,N,Cranberry litter,1.893,2.252,0.359,1.793,Fortier,45,Conventional,N-21-0-0,0,2,47.728,0.77914,0.0794,0.94712469
457,N,Cranberry litter,1.925,2.3,0.373,1.883,Fortier,45,Conventional,N-21-0-0,15,1,49.401,0.7495,0.0806,0.96313525
458,N,Cranberry litter,1.895,2.258,0.362,1.827,Fortier,45,Conventional,N-21-0-0,15,1,48.859,0.79299,0.084,0.94812535
459,N,Cranberry litter,1.929,2.293,0.362,1.858,Fortier,45,Conventional,N-21-0-0,15,1,50.351,0.78587,0.0777,0.96513657
460,N,Cranberry litter,1.919,2.283,0.362,1.833,Fortier,45,Conventional,N-21-0-0,15,2,49.272,0.76349,0.0717,0.96013327
461,N,Cranberry litter,1.923,2.287,0.366,1.841,Fortier,45,Conventional,N-21-0-0,15,2,49.418,0.76398,0.0678,0.96213459
462,N,Cranberry litter,1.924,2.286,0.365,1.856,Fortier,45,Conventional,N-21-0-0,15,2,48.468,0.79769,0.0735,0.96263492
463,N,Cranberry litter,1.891,2.252,0.36,1.815,Fortier,45,Conventional,N-21-0-0,30,1,49.181,0.78571,0.0789,0.94612403
464,N,Cranberry litter,1.922,2.293,0.37,2.131,Fortier,45,Conventional,N-21-0-0,30,1,44.097,0.71374,0.0741,0.96163426
465,N,Cranberry litter,1.905,2.27,0.363,1.798,Fortier,45,Conventional,N-21-0-0,30,1,49.625,0.78517,0.069,0.95312865
466,N,Cranberry litter,1.918,2.287,0.369,1.791,Fortier,45,Conventional,N-21-0-0,30,2,49.171,0.77354,0.0716,0.95963294
467,N,Cranberry litter,1.886,2.251,0.366,2.091,Fortier,45,Conventional,N-21-0-0,30,2,40.626,0.63584,0.0688,0.94362238
468,N,Cranberry litter,1.889,2.256,0.367,1.837,Fortier,45,Conventional,N-21-0-0,30,2,47.785,0.822,0.0765,0.94512337
469,N,Cranberry litter,1.927,2.29,0.361,1.808,Fortier,45,Conventional,N-21-0-0,45,1,49.319,0.79053,0.0783,0.96413591
470,N,Cranberry litter,1.919,2.289,0.371,1.911,Fortier,45,Conventional,N-21-0-0,45,1,47.425,0.82853,0.0708,0.96013327
471,N,Cranberry litter,1.885,2.252,0.367,1.984,Fortier,45,Conventional,N-21-0-0,45,1,45.781,0.68101,0.067,0.94312205
472,N,Cranberry litter,1.882,2.242,0.359,1.811,Fortier,45,Conventional,N-21-0-0,45,2,50.293,0.72939,0.0627,0.94162106
473,N,Cranberry litter,1.916,2.279,0.363,1.85,Fortier,45,Conventional,N-21-0-0,45,2,49.674,0.75357,0.065,0.95863228
474,N,Cranberry litter,1.886,2.252,0.361,1.7,Fortier,45,Conventional,N-21-0-0,45,2,44.719,0.75477,0.0766,0.94362238
475,N,Cranberry litter,1.895,2.257,0.362,1.841,Fortier,45,Conventional,N-21-0-0,60,1,49.616,0.75621,0.0689,0.94812535
476,N,Cranberry litter,1.907,2.271,0.362,1.88,Fortier,45,Conventional,N-21-0-0,60,1,49.886,0.7456,0.0694,0.95412931
477,N,Cranberry litter,1.918,2.277,0.359,1.952,Fortier,45,Conventional,N-21-0-0,60,1,48.854,0.7294,0.0763,0.95963294
478,N,Cranberry litter,1.9,2.261,0.36,1.864,Fortier,45,Conventional,N-21-0-0,60,2,49.311,0.72942,0.0704,0.950627
479,N,Cranberry litter,1.928,2.293,0.365,1.902,Fortier,45,Conventional,N-21-0-0,60,2,48.851,0.74198,0.0728,0.96463624
480,N,Cranberry litter,1.903,2.267,0.364,1.22,Fortier,45,Conventional,N-21-0-0,60,2,47.936,0.81759,0.0751,0.95212799
721,N,Cranberry litter,1.905,2.257,0.352,1.868,Fortier,9,Conventional,N-SCU,30,2,49.383,0.79523,0.0355,0.95312865
722,N,Cranberry litter,1.916,2.285,0.367,1.937,Fortier,9,Conventional,N-SCU,30,2,48.942,0.75847,0.0285,0.95863228
723,N,Cranberry litter,1.933,2.305,0.367,2.088,Fortier,9,Conventional,N-SCU,45,2,44.062,0.68259,0.029,0.96713789
724,N,Cranberry litter,1.917,2.277,0.36,1.896,Fortier,9,Conventional,N-SCU,45,2,48.704,0.75821,0.0328,0.95913261
725,N,Cranberry litter,1.908,2.267,0.358,,Fortier,9,Conventional,N-SCU,60,2,,,,0.95462964
726,N,Cranberry litter,1.935,2.306,0.368,1.903,Fortier,9,Conventional,N-SCU,60,2,48.743,0.78336,0.0377,0.96813855
727,N,Cranberry litter,1.931,2.303,0.368,1.887,Belanger,10,Conventional,N-SCU,45,2,50.52,0.75327,0.0403,0.96613723
728,N,Cranberry litter,1.905,2.272,0.368,1.837,Belanger,10,Conventional,N-SCU,45,2,50.972,0.7579,0.0362,0.95312865
729,N,Cranberry litter,1.911,2.272,0.362,1.839,Belanger,10,Conventional,N-SCU,60,2,50.515,0.79619,0.0465,0.95613063
730,N,Cranberry litter,1.899,2.258,0.359,1.829,Belanger,10,Conventional,N-SCU,60,2,50.51,0.74052,0.0416,0.95012667
731,N,Cranberry litter,1.897,2.264,0.367,1.757,Belanger,10,Conventional,N-SCU,30,,49.552,0.67492,0.0407,0.94912601
732,N,Cranberry litter,1.919,2.283,0.365,1.889,Belanger,10,Conventional,N-SCU,30,,50.478,0.72437,0.0503,0.96013327
778,N,Cranberry litter,1.884,2.24,0.357,1.802,Belanger,10,Conventional,N-21-0-0,0,,51.035,0.75663,0.0485,0.94262172
779,N,Cranberry litter,1.921,2.287,0.365,1.829,Belanger,10,Conventional,N-21-0-0,0,,50.11,0.74774,0.0521,0.96113393
780,N,Cranberry litter,1.929,2.296,0.369,1.828,Belanger,10,Conventional,N-21-0-0,0,,50.739,0.71318,0.0316,0.96513657
781,N,Cranberry litter,1.885,2.237,0.353,1.835,Belanger,10,Conventional,N-21-0-0,0,,49.802,0.67214,0.0271,0.94312205
782,N,Cranberry litter,1.927,2.289,0.362,1.803,Belanger,10,Conventional,N-21-0-0,0,,50.392,0.73367,0.0383,0.96413591
783,N,Cranberry litter,1.934,2.299,0.365,,Belanger,10,Conventional,N-21-0-0,0,,,,,0.96763822
784,N,Cranberry litter,1.925,2.286,0.359,1.842,Belanger,10,Conventional,N-21-0-0,15,,50.69,0.67446,0.0328,0.96313525
785,N,Cranberry litter,1.909,2.273,0.364,1.786,Belanger,10,Conventional,N-21-0-0,15,,50.172,0.75632,0.0467,0.95512997
786,N,Cranberry litter,1.919,2.285,0.366,1.851,Belanger,10,Conventional,N-21-0-0,15,,50.102,0.70213,0.0456,0.96013327
787,N,Cranberry litter,1.881,2.241,0.359,1.825,Belanger,10,Conventional,N-21-0-0,15,,49.776,0.70882,0.0413,0.94112073
788,N,Cranberry litter,1.905,2.274,0.368,1.825,Belanger,10,Conventional,N-21-0-0,15,,50.185,0.69684,0.0407,0.95312865
789,N,Cranberry litter,1.913,2.276,0.363,1.826,Belanger,10,Conventional,N-21-0-0,15,,50.21,0.75949,0.0507,0.95713129
790,N,Cranberry litter,1.897,2.254,0.357,1.817,Belanger,10,Conventional,N-21-0-0,30,,48.498,0.66089,0.0439,0.94912601
791,N,Cranberry litter,1.902,2.262,0.359,1.814,Belanger,10,Conventional,N-21-0-0,30,,50.649,0.70107,0.031,0.95162766
