"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"102",641,"G","Green tea",1.754,2.117,0.363,0.629,"Fortier","9","Conventional","N-21-0-0",30,2,49.088,4.4936,0.272,0.841826453
"103",642,"G","Green tea",1.751,2.111,0.36,0.592,"Fortier","9","Conventional","N-21-0-0",30,2,50.609,4.0937,0.259,0.840386613
"104",643,"G","Green tea",1.789,2.148,0.359,0.682,"Fortier","9","Conventional","N-21-0-0",45,1,46.35,3.4626,0.222,0.858624587
"105",644,"G","Green tea",1.759,2.121,0.361,0.572,"Fortier","9","Conventional","N-21-0-0",45,1,48.103,3.8768,0.243,0.844226187
"106",645,"G","Green tea",1.759,2.131,0.371,0.579,"Fortier","9","Conventional","N-21-0-0",45,1,51.263,3.97,0.263,0.844226187
"107",646,"G","Green tea",1.768,2.127,0.36,0.694,"Fortier","9","Conventional","N-21-0-0",45,2,49.448,4.7202,0.272,0.848545707
"108",647,"G","Green tea",1.783,2.148,0.365,0.564,"Fortier","9","Conventional","N-21-0-0",45,2,50.994,4.0679,0.252,0.855744907
"109",648,"G","Green tea",1.79,2.155,0.365,0.851,"Fortier","9","Conventional","N-21-0-0",45,2,48.724,4.8823,0.262,0.859104533
"110",649,"G","Green tea",1.776,2.136,0.361,0.678,"Fortier","9","Conventional","N-21-0-0",60,1,47.983,3.2594,0.231,0.85238528
"111",650,"G","Green tea",1.753,2.115,0.361,NA,"Fortier","9","Conventional","N-21-0-0",60,1,NA,NA,NA,0.841346507
"112",651,"G","Green tea",1.77,2.132,0.362,NA,"Fortier","9","Conventional","N-21-0-0",60,1,NA,NA,NA,0.8495056
"113",652,"G","Green tea",1.799,2.162,0.363,0.677,"Fortier","9","Conventional","N-21-0-0",60,2,44.782,3.2432,0.21,0.863424053
"114",653,"G","Green tea",1.79,2.149,0.36,0.709,"Fortier","9","Conventional","N-21-0-0",60,2,48.637,3.799,0.219,0.859104533
"115",654,"G","Green tea",1.791,2.146,0.355,0.467,"Fortier","9","Conventional","N-21-0-0",60,2,44.632,3.5701,0.257,0.85958448
"116",841,"G","Green tea",1.769,2.122,0.357,0.803,"Fortier","45","Conventional","N-21-0-0",30,1,50.548,5.1077,0.315,0.849025653
"117",842,"G","Green tea",1.774,2.13,0.37,0.738,"Fortier","45","Conventional","N-21-0-0",30,1,51.345,4.7929,0.294,0.851425387
"118",843,"G","Green tea",1.757,2.113,0.355,0.553,"Fortier","45","Conventional","N-21-0-0",30,1,47.013,3.4768,0.253,0.843266293
"119",844,"G","Green tea",1.761,2.116,0.355,NA,"Fortier","45","Conventional","N-21-0-0",30,2,NA,NA,NA,0.84518608
"120",845,"G","Green tea",1.781,2.135,0.355,0.83,"Fortier","45","Conventional","N-21-0-0",30,2,44.017,3.5534,0.256,0.854785013
"121",846,"G","Green tea",1.788,2.146,0.357,0.847,"Fortier","45","Conventional","N-21-0-0",30,2,50.818,5.0089,0.293,0.85814464
"122",847,"G","Green tea",1.799,2.162,0.363,0.772,"Fortier","45","Conventional","N-21-0-0",45,1,50.201,4.795,0.297,0.863424053
"123",848,"G","Green tea",1.792,2.151,0.359,0.858,"Fortier","45","Conventional","N-21-0-0",45,1,46.212,3.9897,0.301,0.860064427
"124",849,"G","Green tea",1.791,2.15,0.359,0.904,"Fortier","45","Conventional","N-21-0-0",45,1,47.033,4.7959,0.318,0.85958448
