No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
148;G;GrenTea;1,793;2,02;0,227;0,72;Belanger;A9;Biologique;Nproducteur;68,71;1;48,659;5,1102;0,296
149;G;GrenTea;1,789;2,014;0,227;0,744;Belanger;A9;Biologique;Nproducteur;68,71;1;50,725;5,1489;0,307
150;G;GrenTea;1,76;1,988;0,228;0,824;Belanger;A9;Biologique;Nproducteur;68,71;1;50,063;5,4795;0,301
151;G;GrenTea;1,767;1,993;0,226;0,753;Belanger;A9;Biologique;Nproducteur;68,71;2;49,918;5,2718;0,292
152;G;GrenTea;1,788;2,016;0,228;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
153;G;GrenTea;1,785;2,009;0,224;0,808;Belanger;A9;Biologique;Nproducteur;68,71;2;50,057;5,2326;0,29
154;G;GrenTea;1,785;2,013;0,227;0,735;Belanger;10;Conventionel;N;0;1;49,195;4,4527;0,285
155;G;GrenTea;1,794;2,022;0,227;0,741;Belanger;10;Conventionel;N;0;1;49,597;4,5696;0,268
156;G;GrenTea;1,777;2,004;0,226;0,74;Belanger;10;Conventionel;N;0;1;51,106;4,9976;0,284
157;G;GrenTea;1,756;1,984;0,227;0,729;Belanger;10;Conventionel;N;0;2;51,235;5,2712;0,293
158;G;GrenTea;1,76;1,983;0,224;0,805;Belanger;10;Conventionel;N;0;2;50,208;4,5702;0,257
159;G;GrenTea;1,799;2,024;0,225;0,743;Belanger;10;Conventionel;N;0;2;51,081;4,7911;0,289
160;G;GrenTea;1,756;1,983;0,228;;Belanger;10;Conventionel;N;15;1;;;
161;G;GrenTea;1,76;1,988;0,228;0,674;Belanger;10;Conventionel;N;15;1;50,972;5,1357;0,288
162;G;GrenTea;1,771;1,998;0,226;0,739;Belanger;10;Conventionel;N;15;1;51,06;4,6679;0,314
163;G;GrenTea;1,781;2,011;0,23;0,775;Belanger;10;Conventionel;N;15;2;50,399;4,6103;0,269
164;G;GrenTea;1,793;2,021;0,227;0,764;Belanger;10;Conventionel;N;15;2;48,346;4,2203;0,278
165;G;GrenTea;1,784;2,01;0,226;0,836;Belanger;10;Conventionel;N;15;2;50,908;4,828;0,256
166;G;GrenTea;1,786;2,013;0,227;0,658;Belanger;10;Conventionel;N;30;1;51,581;4,4809;0,259
167;G;GrenTea;1,776;2,003;0,227;0,751;Belanger;10;Conventionel;N;30;1;50,195;3,946;0,243
168;G;GrenTea;1,788;2,013;0,227;0,732;Belanger;10;Conventionel;N;30;1;51,353;4,4647;0,26
169;G;GrenTea;1,781;2,008;0,227;;Belanger;10;Conventionel;N;30;1;;;
170;G;GrenTea;1,78;2,007;0,227;0,616;Belanger;10;Conventionel;N;30;2;51,042;4,739;0,277
171;G;GrenTea;1,761;1,99;0,229;0,778;Belanger;10;Conventionel;N;30;2;49,976;4,9552;0,276
172;G;GrenTea;1,76;1,983;0,226;0,645;Belanger;10;Conventionel;N;30;2;47,521;4,1047;0,243
173;G;GrenTea;1,77;1,998;0,228;0,801;Belanger;10;Conventionel;N;45;1;49,761;4,9617;0,268
174;G;GrenTea;1,769;1,995;0,227;0,765;Belanger;10;Conventionel;N;45;1;49,665;4,652;0,27
175;G;GrenTea;1,765;1,993;0,228;0,723;Belanger;10;Conventionel;N;45;1;51,41;4,7341;0,265
176;G;GrenTea;1,778;2,004;0,226;0,709;Belanger;10;Conventionel;N;45;2;50,389;4,8017;0,272
177;G;GrenTea;1,781;2,008;0,228;0,803;Belanger;10;Conventionel;N;45;2;51,256;4,9288;0,28
178;G;GrenTea;1,793;2,022;0,228;0,714;Belanger;10;Conventionel;N;45;2;50,469;4,6108;0,261
179;G;GrenTea;1,786;2,012;0,226;0,744;Belanger;10;Conventionel;N;60;1;49,823;4,501;0,263
180;G;GrenTea;1,799;2,023;0,224;0,851;Belanger;10;Conventionel;N;60;1;49,642;4,3622;0,245
181;G;GrenTea;1,766;1,995;0,229;0,702;Belanger;10;Conventionel;N;60;1;49,494;4,2817;0,257
182;G;GrenTea;1,754;1,981;0,228;0,769;Belanger;10;Conventionel;N;60;2;50,26;4,6585;0,251
183;G;GrenTea;1,77;1,997;0,227;0,74;Belanger;10;Conventionel;N;60;2;49,869;4,6119;0,258
184;G;GrenTea;1,796;2,019;0,227;;Belanger;10;Conventionel;N;60;2;;;
185;G;GrenTea;1,787;2,012;0,227;0,714;Belanger;10;Conventionel;N-SCU;45;2;49,986;4,2273;0,262
186;G;GrenTea;1,777;2,002;0,225;0,692;Belanger;10;Conventionel;N-SCU;45;2;51,621;4,7403;0,261
187;G;GrenTea;1,791;2,018;0,227;0,732;Belanger;10;Conventionel;N-SCU;60;2;50,99;5,2118;0,286
188;G;GrenTea;1,773;2,001;0,229;0,784;Belanger;10;Conventionel;N-SCU;60;2;48,909;4,4888;0,262
189;G;GrenTea;1,792;2,022;0,229;0,734;Belanger;10;Conventionel;N-SCU;30;2;51,244;4,4671;0,26
190;G;GrenTea;1,783;2,011;0,227;0,825;Belanger;10;Conventionel;N-SCU;30;2;48,862;4,2277;0,279
89;S;Rooibos;1,905;2,131;0,227;1,43;Belanger;10;Conventionel;Nproducteur;57,28;1;42,367;0,7521;0,0398
90;S;Rooibos;1,919;2,144;0,226;1,381;Belanger;10;Conventionel;Nproducteur;57,28;1;50,309;1,2782;0,0594
91;S;Rooibos;1,917;2,145;0,226;1,544;Belanger;10;Conventionel;Nproducteur;57,28;2;46,604;0,89545;0,0504
92;S;Rooibos;1,897;2,123;0,227;;Belanger;10;Conventionel;Nproducteur;57,28;2;;;
93;S;Rooibos;1,89;2,115;0,226;1,494;Belanger;10;Conventionel;Nproducteur;57,28;2;47,18;0,80258;0,0308
94;S;Rooibos;1,913;2,142;0,229;1,426;Belanger;10;Conventionel;Nproducteur;57,28;1;49,382;1,1927;0,0723
95;S;Rooibos;1,893;2,12;0,226;1,434;Belanger;10;Conventionel;Nproducteur;57,28;1;48,621;0,90742;0,046
96;S;Rooibos;1,902;2,129;0,227;1,513;Belanger;10;Conventionel;Nproducteur;57,28;1;49,025;0,8691;0,0385
97;S;Rooibos;1,898;2,124;0,227;1,472;Belanger;10;Conventionel;Nproducteur;57,28;2;46,428;0,87275;0,0429
98;S;Rooibos;1,891;2,116;0,225;1,63;Belanger;10;Conventionel;Nproducteur;57,28;2;48,177;0,87875;0,0284
99;S;Rooibos;1,899;2,129;0,229;1,456;Belanger;10;Conventionel;Nproducteur;57,28;2;46,989;0,96973;0,0595
100;S;Rooibos;1,916;2,144;0,228;1,412;Belanger;A9;Biologique;Nproducteur;68,71;1;45,292;0,81162;0,0343
101;S;Rooibos;1,909;2,137;0,229;1,411;Belanger;A9;Biologique;Nproducteur;68,71;1;46,394;0,5821;0,0198
102;S;Rooibos;1,907;2,135;0,229;1,567;Belanger;A9;Biologique;Nproducteur;68,71;1;44,415;0,67789;0,021
103;S;Rooibos;1,903;2,13;0,227;1,584;Belanger;A9;Biologique;Nproducteur;68,71;2;47,71;0,79873;0,029
104;S;Rooibos;1,909;2,136;0,228;1,68;Belanger;A9;Biologique;Nproducteur;68,71;2;44,113;0,65887;0,0225
105;S;Rooibos;1,911;2,139;0,228;1,397;Belanger;A9;Biologique;Nproducteur;68,71;2;49,435;0,99934;0,0536
106;S;Rooibos;1,899;2,126;0,227;1,321;Belanger;A9;Biologique;Nproducteur;68,71;1;;;
107;S;Rooibos;1,901;2,127;0,227;1,467;Belanger;A9;Biologique;Nproducteur;68,71;1;47,967;0,86933;0,0304
108;S;Rooibos;1,905;2,128;0,225;1,547;Belanger;A9;Biologique;Nproducteur;68,71;1;45,146;0,64983;0,0221
109;S;Rooibos;1,912;2,14;0,228;1,577;Belanger;A9;Biologique;Nproducteur;68,71;2;47,055;0,71928;0,0262
110;S;Rooibos;1,899;2,126;0,227;1,557;Belanger;A9;Biologique;Nproducteur;68,71;2;41,404;0,6762;0,0322
111;S;Rooibos;1,916;2,142;0,226;1,479;Belanger;A9;Biologique;Nproducteur;68,71;2;46,669;0,93146;0,0474
112;S;Rooibos;1,904;2,13;0,228;1,492;Belanger;A9;Biologique;Nproducteur;68,71;1;44,614;0,92529;0,0341
113;S;Rooibos;1,898;2,126;0,229;1,39;Belanger;A9;Biologique;Nproducteur;68,71;1;49,421;1,2412;0,0509
114;S;Rooibos;1,907;2,134;0,228;1,495;Belanger;A9;Biologique;Nproducteur;68,71;1;47,379;0,79721;0,0284
