"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"67";31;"S";"Rooibos tea";1,918;2,145;0,226;1,453;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;44,485;0,61915;0,0206;0,916644167;NA;NA;NA;0,64636705;0,0089962495;0,000299318;0,00308502879859001;0,270277117;0,003881686948016;"60_2_A9"
"68";32;"S";"Rooibos tea";1,891;2,118;0,227;1,286;"Belanger";"A9";"Biologique";"N-6-1-1";60;2;42,687;0,89221;0,0463;0,903740417;NA;NA;NA;0,54895482;0,0114738206;0,000595418;0,00428410182067659;0,354785597;0,00553917807532768;"60_2_A9"
"69";33;"S";"Rooibos tea";1,9;2,125;0,226;1,322;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;45,836;0,82029;0,0359;0,908041667;NA;NA;NA;0,60595192;0,0108442338;0,000474598;0,00403009049714333;0,302089747;0,00449432914808015;"45_2_A9"
"70";34;"S";"Rooibos tea";1,904;2,132;0,227;1,439;"Belanger";"A9";"Biologique";"N-6-1-1";45;2;47,973;0,7155;0,0226;0,909953333;NA;NA;NA;0,69033147;0,010296045;0,000325214;0,00311120564959936;0,219621863;0,00306912713592927;"45_2_A9"
"71";35;"S";"Rooibos tea";1,894;2,122;0,228;1,502;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;48,809;0,93119;0,0366;0,905174167;NA;NA;NA;0,73311118;0,0139864738;0,000549732;0,00257659379357715;0,172062987;0,00234255562763821;"30_2_A9"
"72";36;"S";"Rooibos tea";1,92;2,146;0,226;1,489;"Belanger";"A9";"Biologique";"N-6-1-1";30;2;43,227;0,64575;0,0269;0,9176;NA;NA;NA;0,64365003;0,0096152175;0,000400541;0,0028246714704202;0,27394997;0,00394007132333707;"30_2_A9"
"73";88;"S";"Rooibos tea";1,897;2,123;0,227;1,46;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;49,532;0,8107;0,0518;0,906607917;NA;NA;NA;0,7231672;0,01183622;0,00075628;0,00290930283591814;0,183440717;0,00251188463365418;"57.28_1_10"
"74";124;"G";"Green tea";1,787;2,015;0,228;0,905;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;49,626;4,3701;0,248;0,857664693;NA;NA;NA;0,4491153;0,039549405;0,0022444;0,00755953968288336;0,408549393;0,00718815083062787;"57.28_1_10"
"75";125;"G";"Green tea";1,779;2,008;0,228;0,883;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;50,432;4,611;0,242;0,85382512;NA;NA;NA;0,44531456;0,04071513;0,00213686;0,00778312763402083;0,40851056;0,0072327276272216;"57.28_1_10"
"76";126;"G";"Green tea";1,798;2,025;0,228;0,726;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;48,95;4,2663;0,245;0,862944107;NA;NA;NA;0,355377;0,030973338;0,0017787;0,0100764466689641;0,507567107;0,00985745250266675;"57.28_1_10"
"77";127;"G";"Green tea";1,788;2,015;0,226;0,818;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;49,176;4,2812;0,256;0,85814464;NA;NA;NA;0,40225968;0,035020216;0,00209408;0,00868878465700792;0,45588496;0,0084186090349943;"57.28_2_10"
"78";128;"G";"Green tea";1,795;2,023;0,229;0,776;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;50,017;4,2879;0,243;0,861504267;NA;NA;NA;0,38813192;0,033274104;0,00188568;0,00931786423043512;0,473372347;0,008859274745648;"57.28_2_10"
"79";129;"G";"Green tea";1,76;1,986;0,226;0,891;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;45,633;4,3888;0,25;0,844706133;NA;NA;NA;0,40659003;0,039104208;0,0022275;0,00756360733957098;0,438116103;0,00812426016436157;"57.28_2_10"
"80";130;"G";"Green tea";1,765;1,992;0,227;0,878;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;51,367;4,5529;0,26;0,847105867;NA;NA;NA;0,45100226;0,039974462;0,0022828;0,00775843750813645;0,396103607;0,00700392585355209;"57.28_1_10"
"81";131;"G";"Green tea";1,796;2,022;0,227;0,92;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;50,289;4,5806;0,256;0,861984213;NA;NA;NA;0,4626588;0,04214152;0,0023552;0,00743270643132288;0,399325413;0,00691385674153985;"57.28_1_10"
"82";132;"G";"Green tea";1,767;1,995;0,228;0,823;"Belanger";"10";"Conventionel";"Nproducteur";57,28;1;51,441;4,7014;0,271;0,84806576;NA;NA;NA;0,42335943;0,038692522;0,00223033;0,00848980301825141;0,42470633;0,00771929606001428;"57.28_1_10"
"83";133;"G";"Green tea";1,767;1,997;0,229;NA;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;NA;NA;NA;0,84806576;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_2_10"
"84";134;"G";"Green tea";1,784;2,012;0,228;NA;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;NA;NA;NA;0,856224853;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_2_10"
"85";135;"G";"Green tea";1,786;2,014;0,227;0,886;"Belanger";"10";"Conventionel";"Nproducteur";57,28;2;50,59;4,4912;0,256;0,857184747;NA;NA;NA;0,4482274;0,039792032;0,00226816;0,00778907567590404;0,408957347;0,00720391973933191;"57.28_2_10"
"86";136;"G";"Green tea";1,777;2,003;0,225;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;NA;NA;NA;0,852865227;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_1_A9"
"87";137;"G";"Green tea";1,767;1,994;0,227;0,806;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;49,746;5,2747;0,288;0,84806576;NA;NA;NA;0,40095276;0,042514082;0,00232128;0,0087217192201452;0,447113;0,00832349516749349;"68.71_1_A9"
"88";138;"G";"Green tea";1,797;2,024;0,228;0,763;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;50,147;5,3952;0,282;0,86246416;NA;NA;NA;0,38262161;0,041165376;0,00215166;0,00951795394999002;0,47984255;0,00903052285602606;"68.71_1_A9"
"89";139;"G";"Green tea";1,777;2,004;0,227;0,779;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;47,897;4,8253;0,258;0,852865227;NA;NA;NA;0,37311763;0,037589087;0,00200982;0,00916300869204337;0,479747597;0,00918564227025437;"68.71_2_A9"
"90";140;"G";"Green tea";1,775;2,003;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;48,915;4,7691;0,272;0,851905333;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"91";141;"G";"Green tea";1,761;1,989;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;NA;NA;NA;0,84518608;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_2_A9"
"92";142;"G";"Green tea";1,751;1,979;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;NA;NA;NA;0,840386613;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_1_A9"
"93";143;"G";"Green tea";1,796;2,024;0,228;NA;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;NA;NA;NA;0,861984213;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68.71_1_A9"
"94";144;"G";"Green tea";1,789;2,014;0,227;0,793;"Belanger";"A9";"Biologique";"Nproducteur";68,71;1;49,138;4,9214;0,287;0,858624587;NA;NA;NA;0,38966434;0,039026702;0,00227591;0,00903987624304301;0,468960247;0,00877828988512787;"68.71_1_A9"
"95";145;"G";"Green tea";1,775;2,002;0,227;0,792;"Belanger";"A9";"Biologique";"Nproducteur";68,71;2;49,652;5,4628;0,294;0,851905333;NA;NA;NA;0,39324384;0,043265376;0,00232848;0,008966603445501;0,458661493;0,00858939479637325;"68.71_2_A9"
