"No";"TypeThe";"TeaType";"PoidsContenu_g";"PoidsTotal._g";"PoidsSac_g";"Poids_Restant_g";"Farmers";"Site";"Regie";"NitrogenType";"DoseN";"Repetition";"Pourcentage_C";"Pourcentage_N";"Pourcentage_S";"Teneur_Ci";"GreenTMoy_C";"GreenTMoy_N";"GreenTMoy_S";"Teneur_Cf";"Teneur_Nf";"Teneur_Sf";"PertePoids";"Difference_C_Total_g";"TauxDecomposition_C";"DoseRep"
"297";1244;"G";"Green tea";1,797;2,159;0,362;0,675;"Fortier";"9";"Conventionel";"N-SCU";30;2;47,013;4,0061;0,245;0,86246416;NA;NA;NA;0,31733775;0,027041175;0,00165375;0,0108795688434559;0,54512641;0,0111091881147258;"30_2_9"
"298";1245;"G";"Green tea";1,804;2,165;0,361;0,64;"Fortier";"9";"Conventionel";"N-SCU";45;2;48,548;3,894;0,248;0,865823787;NA;NA;NA;0,3107072;0,0249216;0,0015872;0,0115143724918761;0,555116587;0,0113870046559245;"45_2_9"
"299";1246;"G";"Green tea";1,79;2,149;0,36;0,636;"Fortier";"9";"Conventionel";"N-SCU";45;2;50,534;3,9981;0,261;0,859104533;NA;NA;NA;0,32139624;0,025427916;0,00165996;0,0114974703943853;0,537708293;0,0109246205740543;"45_2_9"
"300";1247;"G";"Green tea";1,779;2,138;0,359;0,687;"Fortier";"9";"Conventionel";"N-SCU";60;2;47,355;4,6058;0,265;0,85382512;NA;NA;NA;0,32532885;0,031641846;0,00182055;0,0105719155049276;0,52849627;0,0107209986487656;"60_2_9"
"301";1248;"G";"Green tea";1,75;2,104;0,354;0,63;"Fortier";"9";"Conventionel";"N-SCU";60;2;48,63;4,638;0,276;0,839906667;NA;NA;NA;0,306369;0,0292194;0,0017388;0,0113516805281331;0,533537667;0,0112055613015182;"60_2_9"
"302";391;"S";"Rooibos tea";1,91;2,27;0,361;1,352;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;45,22;0,80471;0,0199;0,912820833;NA;NA;NA;0,6113744;0,0108796792;0,000269048;0,00383909182708629;0,301446433;0,00445366760004666;"0_1_9"
"303";392;"S";"Rooibos tea";1,913;2,272;0,359;1,295;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;47,323;1,0041;0,0381;0,914254583;NA;NA;NA;0,61283285;0,013003095;0,000493395;0,00433513328118461;0,301421733;0,00444463162758349;"0_1_9"
"304";393;"S";"Rooibos tea";1,925;2,281;0,355;1,232;"Fortier";"9";"Conventionel";"N-21-0-0";0;1;47,264;0,81148;0,023;0,919989583;NA;NA;NA;0,58229248;0,0099974336;0,00028336;0,00495874558476022;0,337697103;0,00508210536331725;"0_1_9"
"305";394;"S";"Rooibos tea";1,893;2,246;0,353;1,416;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;46,632;0,92743;0,0208;0,90469625;NA;NA;NA;0,66030912;0,0131324088;0,000294528;0,0032258541883962;0,24438713;0,00349879069993149;"0_2_9"
"306";395;"S";"Rooibos tea";1,906;2,258;0,352;1,402;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;45,722;0,77332;0,0177;0,910909167;NA;NA;NA;0,64102244;0,0108419464;0,000248154;0,00341230018466236;0,269886727;0,0039042080140577;"0_2_9"
"307";396;"S";"Rooibos tea";1,907;2,272;0,365;1,288;"Fortier";"9";"Conventionel";"N-21-0-0";0;2;47,315;0,76372;0,0195;0,911387083;NA;NA;NA;0,6094172;0,0098367136;0,00025116;0,00436045221040134;0,301969883;0,00447182905990674;"0_2_9"
"308";397;"S";"Rooibos tea";1,921;2,286;0,365;NA;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;NA;NA;NA;0,918077917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_1_9"
"309";398;"S";"Rooibos tea";1,907;2,26;0,353;1,343;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;45,302;0,76838;0,029;0,911387083;NA;NA;NA;0,60840586;0,0103193434;0,00038947;0,00389583787863535;0,302981223;0,0044902834874232;"15_1_9"
"310";399;"S";"Rooibos tea";1,888;2,249;0,361;1,255;"Fortier";"9";"Conventionel";"N-21-0-0";15;1;46,74;0,92017;0,0337;0,902306667;NA;NA;NA;0,586587;0,0115481335;0,000422935;0,00453758327932846;0,315719667;0,00478481614644109;"15_1_9"
"311";400;"S";"Rooibos tea";1,893;2,255;0,362;1,41;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;47,119;0,75799;0,0175;0,90469625;NA;NA;NA;0,6643779;0,010687659;0,00024675;0,0032730351981901;0,24031835;0,00343053486568075;"15_2_9"
"312";401;"S";"Rooibos tea";1,896;2,253;0,358;1,387;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;43,626;0,74622;0,0284;0,90613;NA;NA;NA;0,60509262;0,0103500714;0,000393908;0,00347336958333484;0,30103738;0,0044866805153954;"15_2_9"
"313";402;"S";"Rooibos tea";1,9;2,263;0,364;NA;"Fortier";"9";"Conventionel";"N-21-0-0";15;2;NA;NA;NA;0,908041667;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_2_9"
"314";403;"S";"Rooibos tea";1,919;2,28;0,361;1,557;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;46,514;0,87969;0,0308;0,917122083;NA;NA;NA;0,72422298;0,0136967733;0,000479556;0,00232270360193002;0,192899103;0,00262379186715119;"30_1_9"
"315";404;"S";"Rooibos tea";1,905;2,261;0,355;1,319;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;46,157;0,78784;0,0335;0,91043125;NA;NA;NA;0,60881083;0,0103916096;0,000441865;0,0040845348315943;0,30162042;0,0044712310319065;"30_1_9"
"316";405;"S";"Rooibos tea";1,909;2,261;0,351;1,274;"Fortier";"9";"Conventionel";"N-21-0-0";30;1;47,268;0,63065;0,0147;0,912342917;NA;NA;NA;0,60219432;0,008034481;0,000187278;0,00449353319548488;0,310148597;0,00461595267737394;"30_1_9"
"317";406;"S";"Rooibos tea";1,889;2,244;0,355;1,173;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;50,581;1,1526;0,0609;0,902784583;NA;NA;NA;0,59331513;0,013519998;0,000714357;0,00529425576497816;0,309469453;0,00466398103948343;"30_2_9"
"318";407;"S";"Rooibos tea";1,92;2,282;0,363;NA;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;NA;NA;NA;0,9176;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30_2_9"
"319";408;"S";"Rooibos tea";1,913;2,275;0,362;1,278;"Fortier";"9";"Conventionel";"N-21-0-0";30;2;46,261;1,1354;0,0527;0,914254583;NA;NA;NA;0,59121558;0,014510412;0,000673506;0,00448195927225303;0,323039003;0,00484364830446961;"30_2_9"
"320";409;"S";"Rooibos tea";1,928;2,289;0,361;1,358;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;45,117;0,7964;0,0278;0,921423333;NA;NA;NA;0,61268886;0,010815112;0,000377524;0,00389411296724277;0,308734473;0,00453402597615477;"45_1_9"
"321";410;"S";"Rooibos tea";1,925;2,284;0,36;1,338;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;45,707;0,78982;0,0303;0,919989583;NA;NA;NA;0,61155966;0,0105677916;0,000405414;0,0040416667337079;0,308429923;0,00453722037128776;"45_1_9"
"322";411;"S";"Rooibos tea";1,922;2,281;0,36;1,485;"Fortier";"9";"Conventionel";"N-21-0-0";45;1;41,814;0,91768;0,0406;0,918555833;NA;NA;NA;0,6209379;0,013627548;0,00060291;0,00286612820326042;0,297617933;0,00435079570030597;"45_1_9"
"323";412;"S";"Rooibos tea";1,92;2,283;0,363;1,424;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;47,132;0,67525;0,0105;0,9176;NA;NA;NA;0,67115968;0,00961556;0,00014952;0,00332061525611007;0,24644032;0,00347504982200263;"45_2_9"
"324";413;"S";"Rooibos tea";1,902;2,26;0,357;1,538;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;48,187;0,79626;0,0192;0,9089975;NA;NA;NA;0,74111606;0,0122464788;0,000295296;0,00236025658933051;0,16788144;0,00226872338540384;"45_2_9"
"325";414;"S";"Rooibos tea";1,893;2,255;0,362;1,349;"Fortier";"9";"Conventionel";"N-21-0-0";45;2;45,592;0,91926;0,0329;0,90469625;NA;NA;NA;0,61503608;0,0124008174;0,000443821;0,00376443661112852;0,28966017;0,00428798132500326;"45_2_9"
"326";415;"S";"Rooibos tea";1,911;2,279;0,367;1,266;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;46,939;0,77745;0,0284;0,91329875;NA;NA;NA;0,59424774;0,009842517;0,000359544;0,00457515935040168;0,31905101;0,00477518602126337;"60_1_9"
"327";416;"S";"Rooibos tea";1,897;2,256;0,358;1,209;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;47,576;0,93114;0,0386;0,906607917;NA;NA;NA;0,57519384;0,0112574826;0,000466674;0,00500533465911357;0,331414077;0,0050555886007225;"60_1_9"
"328";417;"S";"Rooibos tea";1,918;2,279;0,362;1,299;"Fortier";"9";"Conventionel";"N-21-0-0";60;1;47,033;0,81894;0,0315;0,916644167;NA;NA;NA;0,61095867;0,0106380306;0,000409185;0,0043298693196976;0,305685497;0,00450766714360587;"60_1_9"
"329";418;"S";"Rooibos tea";1,923;2,282;0,359;1,341;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;47,994;0,82309;0,0328;0,91903375;NA;NA;NA;0,64359954;0,0110376369;0,000439848;0,00400523180341224;0,27543421;0,00395829051104207;"60_2_9"
"330";419;"S";"Rooibos tea";1,913;2,27;0,357;1,279;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;47,802;0,85905;0,0291;0,914254583;NA;NA;NA;0,61138758;0,0109872495;0,000372189;0,00447326853179345;0,302867003;0,00447086638502173;"60_2_9"
"331";420;"S";"Rooibos tea";1,903;2,262;0,358;NA;"Fortier";"9";"Conventionel";"N-21-0-0";60;2;NA;NA;NA;0,909475417;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60_2_9"
"332";523;"S";"Rooibos tea";1,907;2,274;0,367;1,352;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;47,963;1,2148;0,0845;0,911387083;NA;NA;NA;0,64845976;0,016424096;0,00114244;0,00382162609997233;0,262927323;0,00378186394537121;"0_1_45"
"333";524;"S";"Rooibos tea";1,891;2,252;0,361;1,371;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;48,358;1,0006;0,0706;0,903740417;NA;NA;NA;0,66298818;0,013718226;0,000967926;0,00357294876773492;0,240752237;0,00344205564275541;"0_1_45"
"334";525;"S";"Rooibos tea";1,896;2,257;0,361;1,401;"Fortier";"45";"Conventionel";"N-21-0-0";0;1;49,667;1,0147;0,0773;0,90613;NA;NA;NA;0,69583467;0,014215947;0,001082973;0,00336177929419956;0,21029533;0,00293411882883512;"0_1_45"
"335";526;"S";"Rooibos tea";1,902;2,27;0,368;1,3;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;50,585;0,89246;0,0584;0,9089975;NA;NA;NA;0,657605;0,01160198;0,0007592;0,00422824110728564;0,2513925;0,00359708774199199;"0_2_45"
"336";527;"S";"Rooibos tea";1,888;2,249;0,361;1,235;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;45,33;0,82495;0,0692;0,902306667;NA;NA;NA;0,5598255;0,0101881325;0,00085462;0,00471607886270409;0,342481167;0,00530365910934954;"0_2_45"
"337";528;"S";"Rooibos tea";1,893;2,254;0,361;1,35;"Fortier";"45";"Conventionel";"N-21-0-0";0;2;46;0,98091;0,0891;0,90469625;NA;NA;NA;0,621;0,013242285;0,00120285;0,00375620310863164;0,28369625;0,00418075744521309;"0_2_45"
"338";529;"S";"Rooibos tea";1,893;2,25;0,356;1,406;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;44,649;0,88298;0,0731;0,90469625;NA;NA;NA;0,62776494;0,0124146988;0,001027786;0,0033046008759857;0,27693131;0,0040603717218334;"15_1_45"
"339";530;"S";"Rooibos tea";1,886;2,251;0,365;1,372;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;44,88;0,82519;0,0763;0,901350833;NA;NA;NA;0,6157536;0,0113216068;0,001046836;0,00353542949897302;0,285597233;0,0042338631122749;"15_1_45"
"340";531;"S";"Rooibos tea";1,899;2,253;0,353;1,423;"Fortier";"45";"Conventionel";"N-21-0-0";15;1;44,851;0,84795;0,0848;0,90756375;NA;NA;NA;0,63822973;0,0120663285;0,001206704;0,0032062234746937;0,26933402;0,00391183905226202;"15_1_45"
"341";532;"S";"Rooibos tea";1,91;2,268;0,359;NA;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;NA;NA;NA;0,912820833;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15_2_45"
"342";533;"S";"Rooibos tea";1,918;2,281;0,362;1,369;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;47,625;0,92312;0,0759;0,916644167;NA;NA;NA;0,65198625;0,0126375128;0,001039071;0,00374669366838816;0,264657917;0,00378550982059045;"15_2_45"
"343";534;"S";"Rooibos tea";1,908;2,274;0,365;1,307;"Fortier";"45";"Conventionel";"N-21-0-0";15;2;46,308;0,76662;0,0762;0,911865;NA;NA;NA;0,60524556;0,0100197234;0,000995934;0,00420356820426678;0,30661944;0,00455397436468837;"15_2_45"
"344";535;"S";"Rooibos tea";1,889;2,248;0,36;1,298;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;45,827;1,0734;0,0915;0,902784583;NA;NA;NA;0,59483446;0,013932732;0,00118767;0,00416914411374971;0,307950123;0,00463556466197027;"30_1_45"
"345";536;"S";"Rooibos tea";1,894;2,255;0,361;1,297;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;45,185;0,95828;0,0883;0,905174167;NA;NA;NA;0,58604945;0,0124288916;0,001145251;0,00420707877143977;0,319124717;0,00483025781361488;"30_1_45"
"346";537;"S";"Rooibos tea";1,92;2,277;0,357;1,316;"Fortier";"45";"Conventionel";"N-21-0-0";30;1;46,583;0,93804;0,0664;0,9176;NA;NA;NA;0,61303228;0,0123446064;0,000873824;0,00419698170151739;0,30456772;0,0044815996912395;"30_1_45"
"347";538;"S";"Rooibos tea";1,912;2,274;0,361;1,369;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;44,983;0,82848;0,0849;0,913776667;NA;NA;NA;0,61581727;0,0113418912;0,001162281;0,00371188075914331;0,297959397;0,00438484349836187;"30_2_45"
"348";539;"S";"Rooibos tea";1,924;2,279;0,355;1,389;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;44,722;0,88329;0,0838;0,919511667;NA;NA;NA;0,62118858;0,0122688981;0,001163982;0,0036202476496812;0,298323087;0,00435786694499212;"30_2_45"
"349";540;"S";"Rooibos tea";1,903;2,262;0,359;1,5;"Fortier";"45";"Conventionel";"N-21-0-0";30;2;44,727;0,9086;0,073;0,909475417;NA;NA;NA;0,670905;0,013629;0,001095;0,0026440720022872;0,238570417;0,00338044912488237;"30_2_45"
"350";541;"S";"Rooibos tea";1,924;2,276;0,352;1,304;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;46,833;0,97446;0,0933;0,919511667;NA;NA;NA;0,61070232;0,0127069584;0,001216632;0,00432188765265615;0,308809347;0,00454703436933723;"45_1_45"
"351";542;"S";"Rooibos tea";1,893;2,253;0,359;1,458;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;45,34;1,0204;0,0787;0,90469625;NA;NA;NA;0,6610572;0,014877432;0,001147446;0,00290108042934133;0,24363905;0,00348620978158624;"45_1_45"
"352";543;"S";"Rooibos tea";1,923;2,278;0,355;1,47;"Fortier";"45";"Conventionel";"N-21-0-0";45;1;50,215;1,0171;0,161;0,91903375;NA;NA;NA;0,7381605;0,01495137;0,0023667;0,00298471184239997;0,18087325;0,00243512850835689;"45_1_45"
"353";544;"S";"Rooibos tea";1,91;2,275;0,365;1,445;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;45,395;1,0093;0,0795;0,912820833;NA;NA;NA;0,65595775;0,014584385;0,001148775;0,00309993244993492;0,256863083;0,00367159155651866;"45_2_45"
"354";545;"S";"Rooibos tea";1,915;2,275;0,361;1,435;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;44,406;0,98229;0,088;0,915210417;NA;NA;NA;0,6372261;0,0140958615;0,0012628;0,00320614192690028;0,277984317;0,0040225496124809;"45_2_45"
"355";546;"S";"Rooibos tea";1,91;2,266;0,356;1,43;"Fortier";"45";"Conventionel";"N-21-0-0";45;2;45,959;1,0391;0,0953;0,912820833;NA;NA;NA;0,6572137;0,01485913;0,00136279;0,00321587553096359;0,255607133;0,00365033766121792;"45_2_45"
"356";547;"S";"Rooibos tea";1,891;2,247;0,356;1,437;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;47,543;0,96472;0,0815;0,903740417;NA;NA;NA;0,68319291;0,0138630264;0,001171155;0,0030505353619937;0,220547507;0,00310849894483085;"60_1_45"
"357";548;"S";"Rooibos tea";1,9;2,26;0,36;1,228;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;46,787;0,98781;0,0866;0,908041667;NA;NA;NA;0,57454436;0,0121303068;0,001063448;0,00484963396052716;0,333497307;0,00508569952263921;"60_1_45"
"358";549;"S";"Rooibos tea";1,913;2,278;0,364;1,389;"Fortier";"45";"Conventionel";"N-21-0-0";60;1;45,24;1,0139;0,095;0,914254583;NA;NA;NA;0,6283836;0,014083071;0,00131955;0,0035565402965101;0,285870983;0,00416620290949798;"60_1_45"
"359";550;"S";"Rooibos tea";1,907;2,264;0,357;1,341;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;48,123;0,92958;0,102;0,911387083;NA;NA;NA;0,64532943;0,0124656678;0,00136782;0,00391239691465267;0,266057653;0,00383563083812899;"60_2_45"
"360";551;"S";"Rooibos tea";1,918;2,269;0,352;1,391;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;45,65;1,0164;0,0869;0,916644167;NA;NA;NA;0,6349915;0,014138124;0,001208779;0,00356955626133267;0,281652667;0,00407897492915593;"60_2_45"
"361";552;"S";"Rooibos tea";1,905;2,253;0,348;1,384;"Fortier";"45";"Conventionel";"N-21-0-0";60;2;47,642;1,0902;0,0888;0,91043125;NA;NA;NA;0,65936528;0,015088368;0,001228992;0,00355004612647985;0,25106597;0,00358489681145094;"60_2_45"
"362";756;"S";"Rooibos tea";1,926;2,288;0,362;1,396;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;43,223;0,65901;0,0783;0,9204675;NA;NA;NA;0,60339308;0,0091997796;0,001093068;0,00357593676706392;0,31707442;0,00469236483153606;"57.28_1_45"
"363";757;"S";"Rooibos tea";1,926;2,291;0,365;1,398;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;44,182;0,61058;0,0739;0,9204675;NA;NA;NA;0,61766436;0,0085359084;0,001033122;0,00356002966182573;0,30280314;0,00443262766695275;"57.28_1_45"
"364";758;"S";"Rooibos tea";1,893;2,252;0,359;1,373;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;46,048;1,0733;0,0869;0,90469625;NA;NA;NA;0,63223904;0,014736409;0,001193137;0,00356849717157058;0,27245721;0,00398146335019799;"57.28_1_45"
"365";759;"S";"Rooibos tea";1,894;2,255;0,361;1,379;"Fortier";"45";"Conventionel";"Nproducteur";57,28;2;47,219;1,1123;0,0944;0,905174167;NA;NA;NA;0,65115001;0,015338617;0,001301776;0,0035259155105858;0,254024157;0,00365985921262726;"57.28_2_45"
"366";760;"S";"Rooibos tea";1,909;2,269;0,36;NA;"Fortier";"45";"Conventionel";"Nproducteur";57,28;2;NA;NA;NA;0,912342917;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_2_45"
"367";761;"S";"Rooibos tea";1,916;2,275;0,359;1,345;"Fortier";"45";"Conventionel";"Nproducteur";57,28;2;45,947;0,88188;0,085;0,915688333;NA;NA;NA;0,61798715;0,011861286;0,00114325;0,00393161851660963;0,297701183;0,00436898216220953;"57.28_2_45"
"368";762;"S";"Rooibos tea";1,925;2,283;0,358;1,516;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;45,946;1,0491;0,084;0,919989583;NA;NA;NA;0,69654136;0,015904356;0,00127344;0,00265389645021742;0,223448223;0,00309150192298545;"57.28_1_45"
"369";763;"S";"Rooibos tea";1,928;2,285;0,36;1,472;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;46,126;0,96534;0,0994;0,921423333;NA;NA;NA;0,67897472;0,0142098048;0,001463168;0,00299845750979633;0,242448613;0,00339261866620949;"57.28_1_45"
"370";764;"S";"Rooibos tea";1,892;2,259;0,365;NA;"Fortier";"45";"Conventionel";"Nproducteur";57,28;1;NA;NA;NA;0,904218333;NA;NA;NA;NA;NA;NA;NA;NA;NA;"57.28_1_45"
"371";765;"S";"Rooibos tea";1,926;2,28;0,355;1,419;"Fortier";"45";"Conventionel";"Nproducteur";57,28;2;46,09;0,946;0,0945;0,9204675;NA;NA;NA;0,6540171;0,01342374;0,001340955;0,00339436572442254;0,2664504;0,00379720216941151;"57.28_2_45"
"372";766;"S";"Rooibos tea";1,889;2,247;0,358;1,386;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,025;1,1066;0,096;0,902784583;NA;NA;NA;0,6517665;0,015337476;0,00133056;0,0034402854194629;0,251018083;0,00361997332196405;"57.28_NA_45"
"373";767;"S";"Rooibos tea";1,923;2,275;0,352;1,472;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;NA;NA;NA;0,91903375;NA;NA;NA;NA;NA;NA;0,00296960495888842;NA;NA;"57.28_NA_45"
"374";768;"S";"Rooibos tea";1,896;2,252;0,356;1,859;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,856;0,94496;0,0449;0,90613;NA;NA;NA;0,88964304;0,0175668064;0,000834691;0,000218974389928034;0,0164869600000001;0,000204027555415067;"57.28_NA_45"
"375";769;"S";"Rooibos tea";1,905;2,265;0,359;1,994;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;43,355;0,69078;0,0286;0,91043125;NA;NA;NA;0,8644987;0,0137741532;0,000570284;-0,000507340699566469;0,0459325500000001;0,000575206522125767;"57.28_NA_45"
"376";770;"S";"Rooibos tea";1,907;2,267;0,36;1,835;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,216;0,84245;0,0288;0,911387083;NA;NA;NA;0,8664136;0,0154589575;0,00052848;0,00042763161235276;0,044973483;0,00056228125918719;"57.28_NA_45"
"377";771;"S";"Rooibos tea";1,917;2,281;0,365;1,406;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,32;0,93269;0,0378;0,91616625;NA;NA;NA;0,6653192;0,0131136214;0,000531468;0,0034445852297226;0,25084705;0,00355478798162526;"57.28_NA_45"
"378";772;"S";"Rooibos tea";1,907;2,265;0,358;1,464;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,571;0,85364;0,057;0,911387083;NA;NA;NA;0,69643944;0,0124972896;0,00083448;0,00293732123421291;0,214947643;0,0029887429513256;"57.28_NA_45"
"379";773;"S";"Rooibos tea";1,893;2,261;0,368;1,366;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,03;1,1321;0,0485;0,90469625;NA;NA;NA;0,6424298;0,015464486;0,00066251;0,00362529012309542;0,26226645;0,00380379668781173;"57.28_NA_45"
"380";774;"S";"Rooibos tea";1,906;2,266;0,361;1,337;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,237;0,91738;0,0503;0,910909167;NA;NA;NA;0,65829869;0,0122653706;0,000672511;0,0039397611901356;0,252610477;0,00360871578750823;"57.28_NA_45"
"381";775;"S";"Rooibos tea";1,9;2,26;0,359;1,331;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;44,329;0,89485;0,0443;0,908041667;NA;NA;NA;0,59001899;0,0119104535;0,000589633;0,00395470385288245;0,318022677;0,00479039492769428;"57.28_NA_45"
"382";776;"S";"Rooibos tea";1,917;2,272;0,355;1,298;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;48,263;0,88826;0,0445;0,91616625;NA;NA;NA;0,62645374;0,0115296148;0,00057761;0,00433263161979566;0,28971251;0,0042235879001776;"57.28_NA_45"
"383";777;"S";"Rooibos tea";1,919;2,274;0,356;1,465;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;45,632;0,65245;0,0151;0,917122083;NA;NA;NA;0,6685088;0,0095583925;0,000221215;0,00299943305062814;0,248613283;0,00351323373536301;"57.28_NA_45"
"384";778;"S";"Rooibos tea";1,922;2,28;0,357;1,446;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,053;0,87839;0,0409;0,918555833;NA;NA;NA;0,70930638;0,0127015194;0,000591414;0,00316183540901698;0,209249453;0,00287239030010562;"57.28_NA_45"
"385";779;"S";"Rooibos tea";1,904;2,264;0,359;1,248;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;41,004;1,1071;0,0612;0,909953333;NA;NA;NA;0,51172992;0,013816608;0,000763776;0,00469349629357708;0,398223413;0,0063955147768432;"57.28_NA_45"
"386";780;"S";"Rooibos tea";1,894;2,258;0,365;1,494;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;46,022;1,0194;0,0366;0,905174167;NA;NA;NA;0,68756868;0,015229836;0,000546804;0,0026359323117029;0,217605487;0,00305517391305064;"57.28_NA_45"
"387";781;"S";"Rooibos tea";1,904;2,269;0,365;1,538;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;49,985;1,009;0,037;0,909953333;NA;NA;NA;0,7687693;0,01551842;0,00056906;0,00237193405873024;0,141184033;0,00187335990312981;"57.28_NA_45"
"388";782;"S";"Rooibos tea";1,896;2,256;0,36;1,487;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,012;0,90835;0,0275;0,90613;NA;NA;NA;0,69906844;0,0135071645;0,000408925;0,00269984151505347;0,20706156;0,00288260149850699;"57.28_NA_45"
"389";783;"S";"Rooibos tea";1,903;2,268;0,364;1,467;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,765;1,098;0,0467;0,909475417;NA;NA;NA;0,70071255;0,01610766;0,000685089;0,0028912454350352;0,208762867;0,00289744691754592;"57.28_NA_45"
"390";784;"S";"Rooibos tea";1,922;2,281;0,358;1,503;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;47,466;0,95659;0,0509;0,918555833;NA;NA;NA;0,71341398;0,0143775477;0,000765027;0,00273225777530293;0,205141853;0,00280823134364984;"57.28_NA_45"
"391";785;"S";"Rooibos tea";1,918;2,274;0,357;1,213;"Fortier";"45";"Conventionel";"Nproducteur";57,28;NA;46,627;0,94175;0,0414;0,916644167;NA;NA;NA;0,56558551;0,0114234275;0,000502182;0,00509095940554815;0,351058657;0,00536508734620053;"57.28_NA_45"
"392";793;"S";"Rooibos tea";1,915;2,273;0,359;1,268;"Fortier";"9";"Conventionel";"N-6-1-1";30;2;46,973;0,84612;0,0408;0,915210417;NA;NA;NA;0,59561764;0,0107288016;0,000517344;0,0045808529624175;0,319592777;0,00477283428009194;"30_2_9"
"393";794;"S";"Rooibos tea";1,926;2,293;0,366;1,369;"Fortier";"9";"Conventionel";"N-6-1-1";30;2;43,042;0,73255;0,0236;0,9204675;NA;NA;NA;0,58924498;0,0100286095;0,000323084;0,00379294185632913;0,33122252;0,0049559963408406;"30_2_9"
"394";795;"S";"Rooibos tea";1,923;2,285;0,362;1,273;"Fortier";"9";"Conventionel";"N-6-1-1";45;2;47,308;1,1222;0,0435;0,91903375;NA;NA;NA;0,60223084;0,014285606;0,000553755;0,00458344607812637;0,31680291;0,00469646688248809;"45_2_9"
