Prélèvement;PertePoids
4;0.524457143
4;0.52786153
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;0.546748879
5;0.517923993
5;
5;0.508898776
5;0.538989784
5;0.514431818
5;
5;0.527308559
5;0.560260034
5;0.527627119
5;
5;0.62068192
5;0.538418079
5;0.528781038
5;0.539174675
5;0.495089286
5;0.495620438
5;
5;0.559263456
5;0.498164627
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
7;0.542102336
7;
7;0.534715909
7;0.548158482
7;0.514635504
7;0.529881823
7;0.535084746
7;
7;0.505539853
7;0.556385945
7;
7;
7;0.537443439
7;
7;0.543473389
7;0.542905789
7;0.515780638
7;0.528881469
7;0.53803681
7;
7;
7;0.503070974
7;0.494896815
7;0.548372615
7;0.566324824
7;0.500055979
7;0.557120834
7;0.540383433
7;
7;
7;0.515190874
7;0.484500703
7;0.60239521
7;0.508778931
7;
7;
7;0.651627641
7;
7;
7;
1;0.339113356
1;0.35424581
1;0.35993266
1;0.337125071
1;0.365217391
1;0.383399886
1;0.356781092
1;0.359122007
1;0.345594088
1;0.373767705
1;0.355819209
1;0.365735462
1;0.361503928
1;0.361248594
1;0.369079686
1;0.346438746
1;0.342275516
1;0.356681767
1;0.343743017
1;0.356072645
1;0.228595696
1;0.249575552
1;0.246337308
1;0.22005618
1;0.19228169
1;0.235575827
1;0.21235327
1;0.217206704
1;0.240445682
1;0.251918736
1;0.257126633
1;0.241035857
1;0.202339833
1;0.249743882
1;0.221790541
1;0.200616592
1;0.208646828
1;0.21016283
1;0.229582173
1;0.231490787
2;0.433464346
2;
2;0.414789916
2;0.430707763
2;0.427753059
2;0.431655481
2;0.425611838
2;0.435953177
2;0.426963788
2;0.411024499
2;0.435933941
2;0.42335563
2;0.435290796
2;0.405636161
2;0.425867861
2;0.440316206
2;0.427727784
2;0.434317549
2;0.430095991
2;0.418729097
2;0.413706453
2;
2;
2;0.393325792
2;0.386763881
2;0.392623874
2;0.442200794
2;0.391769317
2;0.418505942
2;0.391289782
2;0.393049327
2;0.406361607
2;0.408740068
2;0.371774648
2;0.404743083
2;0.381158605
2;0.423509749
2;0.402597403
2;0.41228267
2;0.383540023
3;0.488907753
3;
3;
3;0.489782245
3;0.487250996
3;0.483731513
3;0.492964824
3;0.505310229
3;0.521688094
3;0.509774011
3;0.490964863
3;0.489440639
3;0.484057143
3;0.491894913
3;0.492696629
3;0.483850932
3;0.493385214
3;0.484862127
3;0.494739787
3;0.504299274
3;0.519020822
3;0.498142938
3;0.49768623
3;0.488327722
3;0.525620767
3;0.498638511
3;0.502855511
3;0.480133929
3;0.485428571
3;0.46875
3;0.474901519
3;0.488627451
3;0.49875636
3;0.493232662
3;0.49433539
3;0.485932203
3;
3;0.514508929
3;0.516732842
3;0.475512528
4;0.570253521
4;0.541130386
4;0.495321308
4;0.529915014
4;0.520068221
4;0.554021677
4;0.530602007
4;0.520633126
4;0.544966063
4;
4;0.525811966
4;0.503040541
4;0.527465181
4;0.612976665
4;0.571122391
4;0.551674107
4;0.526203807
4;0.514816901
4;0.524847137
4;0.564221219
4;0.519283276
4;0.493686584
4;0.505643341
4;0.529583095
4;0.542336182
4;0.507447413
4;0.492965672
4;0.514149354
4;0.490246637
4;0.479279279
4;0.497420079
4;0.507285145
4;0.526863181
4;0.466202673
4;0.511256396
4;0.490644258
4;0.489994347
4;
4;0.477858744
4;0.490672696
5;0.510218978
5;0.539058957
5;0.539776536
5;0.508291032
5;0.507445008
5;0.562689927
5;0.484127874
5;0.512675266
5;0.560202361
5;0.486419753
5;0.558984598
5;0.502561184
5;0.5080636
5;0.499772339
5;0.482535211
5;0.485698006
5;
5;0.496498054
5;0.510367893
5;0.51402027
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
5;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
6;
7;0.564484917
7;0.557448004
7;0.560022459
7;0.601516002
7;0.602490096
7;0.55661435
7;0.531552588
7;
7;0.514293722
7;0.534293785
7;0.587506972
7;0.546474901
7;0.549240293
7;0.527344189
7;0.566327108
7;0.55134209
7;0.555844156
7;0.510987172
7;0.582530795
7;0.606442577
7;0.515572859
7;0.530321852
7;0.499496475
7;0.484761905
7;0.441213081
7;0.469700383
7;0.481504316
7;0.477728036
7;0.484417808
7;0.518342201
7;0.50889918
7;0.489149989
7;0.456661992
7;0.457179761
7;
7;0.488189845
7;0.502904518
7;0.474346833
7;0.495147275
7;0.587614912
