Prélèvement;PertePoids
2;0.435761958
2;0.461675978
2;0.460634744
2;0.46408371
2;0.464652223
2;0.473769575
2;0.467946578
2;0.466255605
2;0.444192635
2;
2;0.461337047
2;0.465660592
2;0.463346391
2;0.463754228
2;0.476646033
2;0.440534521
3;0.499831176
3;0.492881166
3;0.516487252
3;0.474107649
3;0.492269188
3;0.469096045
3;0.500506757
3;0.477060134
3;0.517077268
3;0.529143493
3;0.478343593
3;0.504604155
3;0.529362416
3;
3;0.495905777
3;0.517604049
3;0.522323462
3;0.545680407
3;0.49707372
3;0.547886541
3;0.536516854
3;
3;0.571589628
3;0.525395928
3;0.5224341
3;0.54828169
3;0.510230467
3;0.498486547
