No;TypeThe;TeaType;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Farmers;Site;Regie;NitrogenType;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S;Teneur_Ci;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
119;S;Rooibos tea;1,904;2,129;0,225;1,364;Belanger;10;Conventionel;N-21-0-0;0;1;47,836;1,3244;0,0712;0,909953333;;;
120;S;Rooibos tea;1,897;2,123;0,225;;Belanger;10;Conventionel;N-21-0-0;0;1;;;;0,906607917;;;
121;S;Rooibos tea;1,892;2,12;0,228;1,402;Belanger;10;Conventionel;N-21-0-0;0;2;45,378;0,77073;0,0344;0,904218333;;;
122;S;Rooibos tea;1,909;2,135;0,226;1,474;Belanger;10;Conventionel;N-21-0-0;0;2;46,663;0,84813;0,024;0,912342917;;;
123;S;Rooibos tea;1,896;2,123;0,227;1,439;Belanger;10;Conventionel;N-21-0-0;0;2;49,898;0,9809;0,0464;0,90613;;;
124;S;Rooibos tea;1,898;2,124;0,226;1,366;Belanger;10;Conventionel;N-21-0-0;15;1;46,603;1,0737;0,053;0,907085833;;;
125;S;Rooibos tea;1,91;2,136;0,227;;Belanger;10;Conventionel;N-21-0-0;15;1;47,75;1,0111;0,0521;0,912820833;;;
126;S;Rooibos tea;1,905;2,13;0,226;1,525;Belanger;10;Conventionel;N-21-0-0;15;1;49,251;0,9424;0,0321;0,91043125;;;
127;S;Rooibos tea;1,891;2,117;0,227;1,584;Belanger;10;Conventionel;N-21-0-0;15;2;48,413;0,92218;0,028;0,903740417;;;
128;S;Rooibos tea;1,899;2,127;0,229;1,405;Belanger;10;Conventionel;N-21-0-0;15;2;49,605;1,1183;0,0352;0,90756375;;;
129;S;Rooibos tea;1,89;2,117;0,228;1,496;Belanger;10;Conventionel;N-21-0-0;15;2;50,334;0,91735;0,0348;0,9032625;;;
130;S;Rooibos tea;1,908;2,134;0,225;1,574;Belanger;10;Conventionel;N-21-0-0;30;1;49,238;0,85701;0,024;0,911865;;;
131;S;Rooibos tea;1,916;2,142;0,226;1,565;Belanger;10;Conventionel;N-21-0-0;30;1;47,384;1,009;0,0392;0,915688333;;;
